 493540 SA104-334 V      12:42:20.49 -00:42:28.9 2000.00  01:02 1.359  WFC   15.1  180  V                                
 493541 SA101-429 V       9:57:31.80 -00:18:17.1 2000.00  01:05 1.160  WFC   10.1  180  V                                
 493542 SA101-429 i       9:57:31.79 -00:18:16.8 2000.00  01:06 1.162  WFC   10.1  180  i                                
 493543 SA101-429 r       9:57:31.80 -00:18:16.9 2000.00  01:07 1.163  WFC    9.6  180  r                                
 493544 PG1047 r         10:50:02.90 -00:00:38.0 2000.00  01:10 1.142  WFC    4.5  180  r                                
 493545 PG1047 i         10:50:02.90 -00:00:37.9 2000.00  01:11 1.141  WFC    4.6  180  i                                
 493546 PG1047 V         10:50:02.89 -00:00:38.0 2000.00  01:13 1.141  WFC    5.1  180  V                                
 493547 2006BZ8 r        10:28:52.11 +22:34:20.3 2000.00  01:17 1.009  WFC    9.5  180  r                                
 493548 2006BZ8 r        10:28:52.11 +22:34:20.3 2000.00  01:17 1.009  WFC   10.1  180  r                                
 493549 2006BZ8 r        10:28:52.11 +22:34:20.4 2000.00  01:18 1.009  WFC   10.1  180  r                                
 493550 2006BZ8 r        10:28:52.11 +22:34:20.4 2000.00  01:19 1.010  WFC    9.6  180  r                                
 493551 2006BZ8 r        10:28:52.11 +22:34:20.3 2000.00  01:20 1.010  WFC   10.1  180  r                                
 493552 2006BZ8 r        10:28:52.11 +22:34:20.3 2000.00  01:21 1.010  WFC   10.1  180  r                                
 493553 2006BZ8 r        10:28:52.11 +22:34:20.4 2000.00  01:22 1.010  WFC   10.1  180  r                                
 493554 2006BZ8 r        10:28:52.11 +22:34:20.4 2000.00  01:22 1.011  WFC   10.1  180  r                                
 493555 2006BZ8 r        10:28:52.11 +22:34:20.3 2000.00  01:23 1.011  WFC   10.1  180  r                                
 493556 2006BZ8 r        10:28:52.11 +22:34:20.3 2000.00  01:24 1.011  WFC   10.1  180  r                                
 493557 2006BZ8 r        10:28:52.11 +22:34:20.3 2000.00  01:25 1.012  WFC   10.1  180  r                                
 493558 2006BZ8 r        10:28:52.11 +22:34:20.3 2000.00  01:25 1.012  WFC   10.1  180  r                                
 493559 2006BZ8 r        10:28:52.11 +22:34:20.3 2000.00  01:26 1.012  WFC   10.1  180  r                                
