INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 06 29 06:56

TELESCOPE             INT
DATE                  20050628
OBSERVER/S            Deeg/Almenara
PROGRAMME             COROT sample field observations
PROPOSAL REF          INT/05A/C11
TELESCOPE OPERATOR    --
SUPPORT ASTRONOMER    Sergio

TEL STATION / FOCUS   Prime  / 43.75
INSTRUMENT/S          WFC

SUNSET (UT)           20:22
EVENING TWILIGHT (UT) 21:48
MORNING TWILIGHT (UT) 04:42
SUNRISE (UT)          06:08
%ILLUM. LUNAR DISK    47
DARK TIME (HRS)       06:54
TWILIGHT TIME (HRS)   02:52
MOONRISE (UT)         01:10
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  14.4   11    11.1  12.2  271   773.3   14.4  16.1    16.7   11     6 
22:00  12.7    7    20.0  22.9  313   773.1   12.7  15.1    16.1    7     4 
23:00  11.4    4    23.1  24.8  315   773.4   11.4  13.4    16.2    4     2 
00:00  10.8    6    32.9  34.6  327   773.4   10.8  12.5    16.0    6     2 
01:00  10.7   15    21.0  24.5   11   773.6   10.7  12.5    15.8   15     7 
02:00  10.6   27    16.5  17.5  347   773.4   10.6  12.1    15.5   27    21 
03:00  11.6   22    21.4  22.2  339   773.1   11.6  12.7    15.4   22    14 
04:00  12.2   24    18.9  19.7  348   772.7   12.2  12.9    14.6   24    16 
05:00  12.2   24    17.6  18.6  331   772.5   12.2  12.5    14.4   24    20 
06:00  12.6   21    11.5  11.7  346   772.6   12.6  12.7    14.1   21    19 

TIME LOST weather           00:00
TIME LOST Technical         00:45
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Clear.

COMMENTS (causes of time lost, setup information eg CCD windows):
filter wheel error, see fault 16836. 



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 457241 Bias              5:59:59.99 +19:59:59.9 2005.489 13:13 1.019  WFC    0.0  180  i                                
 457305 181555_51b       19:25:01.99 +01:18:54.2 2000.00  23:10 1.565  WFC    8.1  180  B                                focus 43.7
 457306 181555_51b       19:25:02.00 +01:18:54.0 2000.00  23:11 1.560  WFC    3.1  180  V                                
 457307 181555_51b       19:25:02.00 +01:18:54.0 2000.00  23:12 1.555  WFC    2.1  180  r                                
 457308 181555_51b       19:25:01.99 +01:18:54.0 2000.00  23:13 1.550  WFC    2.1  180  i                                
 457309 181555_50b       19:23:01.99 +01:18:53.7 2000.00  23:14 1.531  WFC    8.1  180  B                                
 457310 181555_50b       19:23:01.99 +01:18:54.0 2000.00  23:15 1.527  WFC    3.1  180  V                                
 457311 181555_50b       19:23:02.00 +01:18:54.0 2000.00  23:15 1.522  WFC    2.1  180  r                                
 457312 181555_50b       19:23:02.00 +01:18:54.0 2000.00  23:16 1.518  WFC    2.1  180  i                                
 457313 181555_47b       19:29:02.00 +00:48:53.8 2000.00  23:17 1.558  WFC    7.6  180  B                                
 457314 181555_47b       19:29:02.00 +00:48:54.0 2000.00  23:18 1.553  WFC    3.1  180  V                                
 457315 181555_47b       19:29:02.00 +00:48:54.0 2000.00  23:19 1.548  WFC    2.1  180  r                                
 457316 181555_47b       19:29:02.00 +00:48:54.0 2000.00  23:19 1.543  WFC    2.1  180  i                                
 457317 181555_46b       19:27:02.00 +00:48:53.9 2000.00  23:20 1.527  WFC    8.1  180  B                                
 457318 181555_46b       19:27:02.00 +00:48:54.0 2000.00  23:21 1.522  WFC    3.1  180  V                                
 457319 181555_46b       19:27:02.00 +00:48:54.0 2000.00  23:22 1.517  WFC    2.1  180  r                                
 457320 181555_46b       19:27:02.00 +00:48:54.0 2000.00  23:22 1.513  WFC    2.1  180  i                                
 457321 181555_45b       19:25:02.00 +00:48:53.9 2000.00  23:23 1.497  WFC    7.5  180  B                                
 457322 181555_45b       19:25:01.99 +00:48:53.9 2000.00  23:24 1.493  WFC    3.1  180  V                                
 457323 181555_45b       19:25:01.99 +00:48:53.9 2000.00  23:25 1.489  WFC    2.1  180  r                                
 457324 181555_45b       19:25:02.00 +00:48:54.0 2000.00  23:25 1.485  WFC    2.1  180  i                                
