 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 536134 uvex_6985o He1   22:15:37.10 +61:15:59.4 2000.00  20:39 1.226  WFC  120.0  180  HeI 5870                         
 536135 uvex_6985o r     22:15:37.10 +61:15:59.5 2000.00  20:41 1.228  WFC   30.1  180  r                                
 536136 uvex_6985o U     22:15:37.10 +61:15:59.5 2000.00  20:43 1.230  WFC  120.0  180  U                                
 536137 uvex_6985o g     22:15:37.10 +61:15:59.4 2000.00  20:45 1.232  WFC   30.1  180  g                                
 536138 uvex_6993 He1    22:15:55.79 +61:43:59.4 2000.00  20:46 1.240  WFC  120.0  180  HeI 5870                         
 536139 uvex_6993 r      22:15:55.80 +61:43:59.6 2000.00  20:49 1.242  WFC   30.1  180  r                                
 536140 uvex_6993 U      22:15:55.79 +61:43:59.5 2000.00  20:50 1.244  WFC  120.0  180  U                                
 536141 uvex_6993 g      22:15:55.80 +61:43:59.5 2000.00  20:53 1.246  WFC   30.1  180  g                                
 536142 uvex_6993o He1   22:16:38.14 +61:48:59.6 2000.00  20:54 1.249  WFC  120.0  180  HeI 5870                         
 536143 uvex_6993o r     22:16:38.15 +61:48:59.6 2000.00  20:57 1.251  WFC   30.1  180  r                                
 536144 uvex_6993o U     22:16:38.15 +61:48:59.5 2000.00  20:58 1.253  WFC  120.0  180  U                                
 536145 uvex_6993o g     22:16:38.15 +61:48:59.6 2000.00  21:01 1.256  WFC   30.1  180  g                                
 536146 uvex_6999 He1    22:16:59.20 +62:16:59.7 2000.00  21:02 1.264  WFC  120.0  180  HeI 5870                         
 536147 uvex_6999 r      22:16:59.20 +62:16:59.6 2000.00  21:05 1.266  WFC   30.0  180  r                                
 536148 uvex_6999 U      22:16:59.19 +62:16:59.6 2000.00  21:06 1.269  WFC  120.0  180  U                                
 536149 uvex_6999 g      22:16:59.20 +62:16:59.6 2000.00  21:09 1.272  WFC   30.1  180  g                                
 536150 uvex_6999o He1   22:17:42.31 +62:21:59.6 2000.00  21:10 1.274  WFC  120.0  180  HeI 5870                         
 536151 uvex_6999o r     22:17:42.32 +62:21:59.6 2000.00  21:13 1.277  WFC   30.1  180  r                                
 536152 uvex_6999o U     22:17:42.31 +62:21:59.7 2000.00  21:14 1.280  WFC  120.0  180  U                                
 536153 uvex_6999o g     22:17:42.32 +62:21:59.5 2000.00  21:17 1.282  WFC   30.1  180  g                                
 536154 uvex_7003 He1    22:17:28.23 +60:48:59.6 2000.00  21:18 1.266  WFC  120.0  180  HeI 5870                         
