 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 488886 ngc457 y 200      1:19:00.00 +58:17:00.0 2000.00  22:47 1.350  WFC  199.9  180  stromgren y                      
 488887 varuna r 200      7:11:06.00 +25:09:51.0 2000.00  22:54 1.261  WFC  199.9  180  r                                
 488888 corot5 r 5        6:45:16.00 -00:32:59.9 2000.00  23:03 1.383  WFC    5.1  180  r                                
 488889 corot5 ha 60      6:45:16.00 -00:33:00.2 2000.00  23:04 1.375  WFC   60.1  180  Halpha                           
 488890 corot5 u 80       6:45:16.00 -00:32:59.9 2000.00  23:07 1.366  WFC   80.0  180  stromgren u                      
 488891 corot5 v 40       6:45:16.00 -00:32:59.9 2000.00  23:09 1.358  WFC   40.1  180  stromgren v                      
 488892 corot5 b 20       6:45:16.00 -00:32:59.7 2000.00  23:11 1.351  WFC   20.1  180  stromgren b                      
 488893 corot5 y 20       6:45:16.00 -00:33:00.0 2000.00  23:12 1.346  WFC   20.1  180  stromgren y                      
 488894 corot5 r 50       6:45:15.99 -00:33:00.0 2000.00  23:15 1.336  WFC   50.1  180  r                                
 488895 corot5 ha 600     6:45:15.99 -00:32:59.9 2000.00  23:17 1.313  WFC  599.7  180  Halpha                           
 488896 corot5 u 800      6:45:16.00 -00:32:59.9 2000.00  23:28 1.276  WFC  799.7  180  stromgren u                      
 488897 corot5 v 400      6:45:16.00 -00:33:00.0 2000.00  23:43 1.247  WFC  399.9  180  stromgren v                      
 488898 corot5 b 200      6:45:15.99 -00:32:59.7 2000.00  23:50 1.233  WFC  200.0  180  stromgren b                      
 488899 corot5 y 200      6:45:16.00 -00:33:00.0 2000.00  23:55 1.224  WFC  200.0  180  stromgren y                      
 488900 corot6 r 5        6:42:45.99 -00:34:39.9 2000.00  00:02 1.210  WFC    5.1  180  r                                
 488901 corot6 ha 60      6:42:45.99 -00:34:39.9 2000.00  00:03 1.206  WFC   60.1  180  Halpha                           
 488902 corot6 u 80       6:42:45.99 -00:34:40.0 2000.00  00:06 1.202  WFC   80.0  180  stromgren u                      
 488903 corot6 v 40       6:42:46.00 -00:34:39.9 2000.00  00:08 1.199  WFC   40.1  180  stromgren v                      
 488904 corot6 b 20       6:42:46.00 -00:34:40.0 2000.00  00:10 1.196  WFC   20.1  180  stromgren b                      
 488905 corot6 y 20       6:42:45.99 -00:34:39.9 2000.00  00:11 1.194  WFC   20.1  180  stromgren y                      
 488906 corot6 r 50       6:42:46.00 -00:34:40.0 2000.00  00:14 1.190  WFC   50.1  180  r                                
 488907 corot6 ha 600     6:42:46.00 -00:34:39.9 2000.00  00:16 1.180  WFC  599.7  180  Halpha                           
 488908 corot6 u 800      6:42:45.99 -00:34:40.0 2000.00  00:27 1.166  WFC  799.1  180  stromgren u                      
 488909 corot6 v 400      6:42:46.00 -00:34:40.0 2000.00  00:42 1.157  WFC  399.9  180  stromgren v                      
 488910 corot6 b 200      6:42:45.99 -00:34:40.0 2000.00  00:50 1.153  WFC  199.9  180  stromgren b                      
 488911 corot6 y 200      6:42:45.99 -00:34:39.9 2000.00  00:54 1.151  WFC  200.0  180  stromgren y                      
 488912 varuna r 2000     7:11:06.00 +25:09:50.9 2000.00  01:02 1.015  WFC  200.0  180  r                                
 488913 varuna r 100      7:11:06.00 +25:09:51.0 2000.00  01:09 1.011  WFC  100.0  180  r                                
 488914 corot7 r 5        6:45:23.00 -01:13:25.9 2000.00  01:16 1.154  WFC    5.1  180  r                                
 488916 varuna r 200      7:11:05.99 +25:09:50.9 2000.00  01:19 1.006  WFC  200.0  180  r                                
 488917 corot7 r 5        6:45:22.99 -01:13:25.9 2000.00  01:27 1.155  WFC    5.1  180  r                                
 488918 corot7 ha 60      6:45:23.00 -01:13:25.8 2000.00  01:28 1.155  WFC   60.1  180  Halpha                           
 488919 corot7 u 80       6:45:23.00 -01:13:25.9 2000.00  01:30 1.156  WFC   80.0  180  stromgren u                      
 488920 corot7 v 40       6:45:22.99 -01:13:26.0 2000.00  01:33 1.157  WFC   40.1  180  stromgren v                      
 488921 corot7 b 20       6:45:23.00 -01:13:25.8 2000.00  01:35 1.157  WFC   20.1  180  stromgren b                      
 488922 corot7 y 20       6:45:23.00 -01:13:26.0 2000.00  01:36 1.158  WFC   20.1  180  stromgren y                      
 488923 varuna r 200      7:11:06.00 +25:09:51.0 2000.00  01:39 1.002  WFC  199.9  180  r                                
 488924 corot7 r 50       6:45:22.99 -01:13:25.8 2000.00  01:47 1.164  WFC   50.1  180  r                                
 488925 corot7 ha 600     6:45:23.00 -01:13:26.1 2000.00  01:49 1.169  WFC  599.6  180  Halpha                           
 488926 corot7 u 800      6:45:22.99 -01:13:26.0 2000.00  02:00 1.181  WFC  799.7  180  stromgren u                      
 488927 corot7 v 400      6:45:23.00 -01:13:25.7 2000.00  02:15 1.195  WFC  399.8  180  stromgren v                      
 488928 corot7 b 200      6:45:22.99 -01:13:26.0 2000.00  02:23 1.205  WFC  199.9  180  stromgren b                      
 488929 corot7 y 200      6:45:22.99 -01:13:26.0 2000.00  02:27 1.212  WFC  199.4  180  stromgren y                      
 488930 varuna r 200      7:11:06.00 +25:09:50.9 2000.00  02:35 1.023  WFC  199.9  180  r                                
 488931 corot8 r 5        6:42:51.99 -01:14:37.9 2000.00  02:45 1.249  WFC    5.1  180  r                                
 488932 corot8 ha 60      6:42:52.00 -01:14:38.1 2000.00  02:47 1.254  WFC   60.1  180  Halpha                           
 488933 corot8 u 80       6:42:52.00 -01:14:37.9 2000.00  02:49 1.259  WFC   80.1  180  stromgren u                      
 488934 corot8 v 40       6:42:52.00 -01:14:38.0 2000.00  02:51 1.264  WFC   40.1  180  stromgren v                      
 488935 corot8 b 20       6:42:51.99 -01:14:37.9 2000.00  02:53 1.268  WFC   20.1  180  stromgren b                      
 488936 corot8 y 20       6:42:52.00 -01:14:38.0 2000.00  02:54 1.272  WFC   20.1  180  stromgren y                      
 488937 corot8 r 50       6:42:51.99 -01:14:38.1 2000.00  02:58 1.282  WFC   50.0  180  r                                
 488938 corot8 ha 600     6:42:52.00 -01:14:38.0 2000.00  03:00 1.301  WFC  599.7  180  Halpha                           
 488939 corot8 u 800      6:42:52.00 -01:14:37.9 2000.00  03:11 1.343  WFC  799.6  180  stromgren u                      
 488940 corot8 v 400      6:42:51.99 -01:14:37.9 2000.00  03:26 1.385  WFC  399.9  180  stromgren v                      
 488941 corot8 b 200      6:42:51.99 -01:14:38.0 2000.00  03:34 1.410  WFC  200.0  180  stromgren b                      
 488942 corot8 y 200      6:42:51.99 -01:14:38.0 2000.00  03:38 1.431  WFC  200.0  180  stromgren y                      
 488943 varuna r 200      7:11:05.99 +25:09:51.0 2000.00  03:46 1.130  WFC  200.0  180  r                                
 488944 varuna r 5        7:11:06.00 +25:09:51.0 2000.00  03:51 1.139  WFC    5.1  180  r                                
 488945 varuna r 20       7:11:05.99 +25:09:51.0 2000.00  03:57 1.152  WFC   20.1  180  r                                
 488946 varuna r 200      7:11:06.00 +25:09:51.1 2000.00  04:10 1.193  WFC  199.9  180  r                                
 488947 varuna r 200      7:11:05.99 +25:09:51.0 2000.00  04:45 1.319  WFC  199.9  180  r                                
 488948 varuna r 200      7:11:06.00 +25:09:50.9 2000.00  05:06 1.421  WFC  199.9  180  r                                
 488949 varuna r 20       7:11:06.00 +25:09:51.0 2000.00  05:16 1.466  WFC   19.5  180  r                                
 488950 varuna r 5        7:11:06.00 +25:09:50.9 2000.00  05:17 1.476  WFC    5.1  180  r                                
 488951 varuna r 200      7:11:05.99 +25:09:51.0 2000.00  05:29 1.565  WFC  200.0  180  r                                
 488952 varuna r 200      7:11:06.00 +25:09:51.0 2000.00  05:50 1.730  WFC  199.9  180  r                                
 488953 varuna r 200      7:11:06.00 +25:09:50.9 2000.00  06:26 2.163  WFC  200.0  180  r                                
 488954 Flat field       10:59:10.00 +03:29:59.9 2000.00  07:29 1.263  WFC   10.1  180  r                                
 488955 Flat field       10:59:09.99 +03:29:59.9 2000.00  07:31 1.269  WFC    9.5  180  r                                
 488956 Flat field       10:59:10.00 +03:30:00.0 2000.00  07:32 1.274  WFC   10.1  180  stromgren y                      
 488957 Flat field       10:59:09.99 +03:29:59.9 2000.00  07:34 1.278  WFC    9.5  180  stromgren b                      
 488958 Flat field       10:59:09.99 +03:30:00.0 2000.00  07:35 1.282  WFC   10.1  180  stromgren y                      
 488959 Flat field       10:59:09.99 +03:30:00.0 2000.00  07:36 1.286  WFC   10.1  180  stromgren b                      
 488960 Flat field       10:59:09.99 +03:30:00.0 2000.00  07:37 1.290  WFC   10.1  180  stromgren y                      
 488961 Flat field       10:59:09.99 +03:30:00.0 2000.00  07:39 1.295  WFC    5.1  180  stromgren b                      
 488962 Flat field       10:59:09.99 +03:29:59.9 2000.00  07:40 1.299  WFC    9.6  180  stromgren v                      
 488963 Flat field       10:59:10.00 +03:29:59.9 2000.00  07:41 1.304  WFC    5.1  180  stromgren v                      
 488964 Flat field       10:59:10.00 +03:29:59.9 2000.00  07:43 1.309  WFC   10.1  180  Halpha                           
 488965 Flat field       10:59:10.00 +03:29:59.9 2000.00  07:44 1.313  WFC   10.1  180  stromgren u                      
 488966 Flat field       10:59:10.00 +03:30:00.0 2000.00  07:45 1.318  WFC    3.1  180  Halpha                           
 488967 Flat field       10:59:10.00 +03:29:59.9 2000.00  07:46 1.322  WFC    4.1  180  stromgren u                      
 488968 Bias             10:59:10.00 +03:29:59.9 2000.00  07:48 1.327  WFC    0.0  180  stromgren u                      
 488969 Bias             10:59:09.99 +03:30:00.0 2000.00  07:49 1.331  WFC    0.0  180  stromgren u                      
 488970 Bias             10:59:10.00 +03:30:00.0 2000.00  07:50 1.334  WFC    0.0  180  stromgren u                      
 488971 Bias             10:59:10.00 +03:30:00.0 2000.00  07:51 1.338  WFC    0.0  180  stromgren u                      
 488972 Bias             10:59:10.00 +03:30:00.0 2000.00  07:52 1.341  WFC    0.0  180  stromgren u                      
 488973 Bias             10:59:10.00 +03:29:59.9 2000.00  07:52 1.345  WFC    0.0  180  stromgren u                      
 488974 Bias             10:59:09.99 +03:30:00.0 2000.00  07:53 1.348  WFC    0.0  180  stromgren u                      
 488975 Bias             10:59:10.00 +03:30:00.0 2000.00  07:54 1.352  WFC    0.0  180  stromgren u                      
 488976 Bias             10:59:10.00 +03:30:00.0 2000.00  07:55 1.356  WFC    0.0  180  stromgren u                      
 488977 Bias             10:59:10.00 +03:29:59.9 2000.00  07:56 1.359  WFC    0.0  180  stromgren u                      
