 480231 intphas_0167 Ha   0:31:31.56 +60:37:59.6 2000.00  22:03 1.184  WFC  120.0  180  Halpha                           
 480232 intphas_0167 r    0:31:31.55 +60:37:59.5 2000.00  22:06 1.183  WFC   30.1  180  r                                
 480233 intphas_0167 i    0:31:31.56 +60:37:59.5 2000.00  22:07 1.183  WFC   10.1  180  i                                
 480234 intphas_0167o Ha  0:32:12.45 +60:42:59.4 2000.00  22:08 1.184  WFC  120.0  180  Halpha                           
 480235 intphas_0167o r   0:32:12.45 +60:42:59.5 2000.00  22:11 1.183  WFC   30.1  180  r                                
 480236 intphas_0167o i   0:32:12.44 +60:42:59.5 2000.00  22:12 1.183  WFC   10.1  180  i                                
 480237 intphas_0168 Ha   0:31:36.05 +58:03:59.1 2000.00  22:13 1.150  WFC  120.0  180  Halpha                           
 480238 intphas_0168 r    0:31:36.04 +58:03:59.4 2000.00  22:15 1.150  WFC   30.1  180  r                                
 480239 intphas_0168 i    0:31:36.05 +58:03:59.3 2000.00  22:17 1.149  WFC   10.1  180  i                                
 480240 intphas_0168o Ha  0:32:13.94 +58:08:59.4 2000.00  22:17 1.150  WFC  120.0  180  Halpha                           
 480241 intphas_0168o r   0:32:13.94 +58:08:59.4 2000.00  22:20 1.150  WFC   30.1  180  r                                
 480242 intphas_0168o i   0:32:13.95 +58:08:59.4 2000.00  22:21 1.149  WFC   10.1  180  i                                
 480243 intphas_0169 Ha   0:31:36.59 +59:20:59.1 2000.00  22:22 1.163  WFC  120.0  180  Halpha                           
 480244 intphas_0169 r    0:31:36.59 +59:20:59.4 2000.00  22:25 1.163  WFC   30.1  180  r                                
 480245 intphas_0169 i    0:31:36.59 +59:20:59.3 2000.00  22:26 1.162  WFC   10.1  180  i                                
 480246 intphas_0169o Ha  0:32:15.91 +59:25:59.3 2000.00  22:27 1.163  WFC  120.0  180  Halpha                           
 480247 intphas_0169o r   0:32:15.91 +59:25:59.5 2000.00  22:30 1.163  WFC   30.1  180  r                                
 480248 intphas_0169o i   0:32:15.92 +59:25:59.4 2000.00  22:31 1.163  WFC   10.1  180  i                                
 480249 intphas_0170 Ha   0:31:50.11 +64:06:59.9 2000.00  22:32 1.226  WFC  119.5  180  Halpha                           
 480250 intphas_0170 r    0:31:50.12 +64:06:59.6 2000.00  22:34 1.226  WFC   30.1  180  r                                
 480251 intphas_0170 i    0:31:50.12 +64:06:59.7 2000.00  22:36 1.226  WFC   10.0  180  i                                
 480252 intphas_0170o Ha  0:32:36.06 +64:11:59.7 2000.00  22:36 1.227  WFC  119.5  180  Halpha                           
 480253 intphas_0170o r   0:32:36.07 +64:11:59.7 2000.00  22:39 1.227  WFC   30.1  180  r                                
 480254 intphas_0170o i   0:32:36.07 +64:11:59.7 2000.00  22:40 1.227  WFC   10.1  180  i                                
