 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 682820 TRES3B           17:52:23.59 +37:32:11.0  2000.00 23:16 1.014  WFC   60.1  180  I                                
 682821 TRES3B           17:52:23.58 +37:32:11.0  2000.00 23:18 1.014  WFC   60.1  180  I                                
 682822 TRES3B           17:52:23.58 +37:32:11.0  2000.00 23:19 1.014  WFC   60.1  180  I                                
 682823 TRES3B           17:52:23.59 +37:32:10.9  2000.00 23:21 1.015  WFC   60.1  180  I                                
 682824 TRES3B           17:52:23.33 +37:32:08.9  2000.00 23:22 1.015  WFC   60.0  180  I                                
 682825 TRES3B           17:52:23.33 +37:32:08.9  2000.00 23:24 1.016  WFC   60.1  180  I                                
 682826 TRES3B           17:52:23.33 +37:32:08.9  2000.00 23:25 1.016  WFC   60.1  180  I                                
 682827 TRES3B           17:52:23.33 +37:32:08.9  2000.00 23:27 1.017  WFC   60.1  180  I                                
 682828 TRES3B           17:52:23.33 +37:32:09.0  2000.00 23:28 1.017  WFC   59.5  180  I                                
 682829 TRES3B           17:52:23.33 +37:32:09.0  2000.00 23:30 1.018  WFC   59.5  180  I                                
 682830 TRES3B           17:52:23.33 +37:32:09.0  2000.00 23:31 1.019  WFC   59.5  180  I                                
 682831 TRES3B           17:52:23.33 +37:32:08.9  2000.00 23:33 1.019  WFC   60.1  180  I                                
 682832 TRES3B           17:52:23.33 +37:32:09.0  2000.00 23:34 1.020  WFC   59.5  180  I                                
 682833 TRES3B           17:52:23.33 +37:32:09.0  2000.00 23:36 1.021  WFC   60.1  180  I                                
 682834 TRES3B           17:52:23.34 +37:32:06.9  2000.00 23:39 1.022  WFC   60.1  180  I                                
 682835 TRES3B           17:52:23.33 +37:32:07.0  2000.00 23:40 1.023  WFC   60.0  180  I                                
 682836 TRES3B           17:52:23.33 +37:32:06.9  2000.00 23:42 1.024  WFC   60.1  180  I                                
 682837 TRES3B           17:52:23.33 +37:32:06.9  2000.00 23:43 1.025  WFC   60.0  180  I                                
 682838 TRES3B           17:52:23.33 +37:32:07.0  2000.00 23:45 1.026  WFC   60.1  180  I                                
 682839 TRES3B           17:52:23.33 +37:32:06.9  2000.00 23:46 1.027  WFC   60.1  180  I                                
 682840 TRES3B           17:52:23.33 +37:32:07.0  2000.00 23:48 1.028  WFC   59.5  180  I                                
 682841 TRES3B           17:52:23.33 +37:32:07.0  2000.00 23:49 1.029  WFC   60.1  180  I                                
 682842 TRES3B           17:52:23.33 +37:32:07.0  2000.00 23:51 1.030  WFC   60.1  180  I                                
 682843 TRES3B           17:52:23.33 +37:32:07.0  2000.00 23:52 1.031  WFC   59.5  180  I                                
 682844 TRES3B           17:52:23.42 +37:32:05.0  2000.00 23:55 1.033  WFC   60.1  180  I                                
 682845 TRES3B           17:52:23.42 +37:32:04.9  2000.00 23:56 1.034  WFC   60.0  180  I                                
 682846 TRES3B           17:52:23.42 +37:32:05.0  2000.00 23:58 1.035  WFC   59.5  180  I                                
 682847 TRES3B           17:52:23.42 +37:32:05.0  2000.00 23:59 1.036  WFC   60.1  180  I                                
 682848 TRES3B           17:52:23.42 +37:32:04.9  2000.00 00:01 1.038  WFC   60.1  180  I                                
 682849 TRES3B           17:52:23.41 +37:32:04.9  2000.00 00:02 1.039  WFC   60.1  180  I                                
 682850 TRES3B           17:52:23.42 +37:32:04.9  2000.00 00:04 1.040  WFC   60.1  180  I                                
 682851 TRES3B           17:52:23.42 +37:32:04.9  2000.00 00:06 1.042  WFC   60.0  180  I                                
 682852 TRES3B           17:52:23.41 +37:32:05.0  2000.00 00:07 1.043  WFC   60.1  180  I                                
 682853 TRES3B           17:52:23.42 +37:32:04.9  2000.00 00:09 1.045  WFC   60.1  180  I                                
 682854 TRES3B           17:52:23.41 +37:32:05.0  2000.00 00:10 1.046  WFC   59.6  180  I                                
 682855 TRES3B           17:52:23.42 +37:32:05.0  2000.00 00:12 1.048  WFC   60.1  180  I                                
 682856 TRES3B           17:52:23.41 +37:32:00.9  2000.00 00:14 1.050  WFC   60.1  180  I                                
 682857 TRES3B           17:52:23.42 +37:32:00.9  2000.00 00:16 1.052  WFC   59.5  180  I                                
 682858 TRES3B           17:52:23.42 +37:32:00.9  2000.00 00:17 1.054  WFC   59.5  180  I                                
 682859 TRES3B           17:52:23.42 +37:32:01.0  2000.00 00:19 1.055  WFC   60.1  180  I                                
 682860 TRES3B           17:52:23.41 +37:32:01.0  2000.00 00:20 1.057  WFC   60.2  180  I                                
 682861 TRES3B           17:52:23.42 +37:32:00.9  2000.00 00:22 1.059  WFC   60.1  180  I                                
 682862 TRES3B           17:52:23.41 +37:32:01.0  2000.00 00:23 1.061  WFC   60.1  180  I                                
 682863 TRES3B           17:52:23.41 +37:32:01.0  2000.00 00:25 1.063  WFC   60.1  180  I                                
 682864 TRES3B           17:52:23.41 +37:32:01.0  2000.00 00:26 1.065  WFC   60.0  180  I                                
 682865 TRES3B           17:52:23.42 +37:32:01.0  2000.00 00:28 1.067  WFC   60.1  180  I                                
 682866 TRES3B           17:52:23.41 +37:32:00.9  2000.00 00:29 1.069  WFC   60.0  180  I                                
 682867 TRES3B           17:52:23.42 +37:32:01.0  2000.00 00:31 1.070  WFC   60.1  180  I                                
