 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 518166 sdss1208+35 60s  12:08:39.49 +35:50:35.4 2000.00  21:27 1.762  WFC   60.1  180  g                                
 518167 sdss1208+35 60s  12:08:39.50 +35:50:35.5 2000.00  21:29 1.777  WFC   60.1  180  g                                
 518168 sdss1208+35 60s  12:08:39.50 +35:50:35.5 2000.00  21:31 1.791  WFC   60.1  180  g                                
 518169 sdss1208+35 60s  12:08:39.49 +35:50:35.3 2000.00  21:32 1.806  WFC   60.1  180  g                                
 518170 sdss1208+35 60s  12:08:39.49 +35:50:35.4 2000.00  21:34 1.821  WFC   60.0  180  g                                
 518171 sdss1208+35 60s  12:08:39.50 +35:50:35.5 2000.00  21:35 1.837  WFC   60.1  180  g                                
 518173 Focus run        18:41:50.88 +00:05:09.0 2000.00  21:44 1.293  WFC    5.1  180  r                                
 518174 uvex_4151 He1    18:42:22.07 +05:27:00.4 2000.00  21:49 1.208  WFC  119.5  180  HeI 5870                         
 518175 uvex_4151 r      18:42:22.08 +05:26:59.9 2000.00  21:52 1.203  WFC   30.0  180  r                                
 518176 uvex_4151 U      18:42:22.07 +05:26:59.9 2000.00  21:53 1.199  WFC  120.0  180  U                                
 518177 uvex_4151 g      18:42:22.08 +05:27:00.0 2000.00  21:56 1.194  WFC   30.1  180  g                                
 518178 uvex_4151o He1   18:42:42.17 +05:32:00.0 2000.00  21:57 1.190  WFC  120.0  180  HeI 5870                         
 518179 uvex_4151o r     18:42:42.16 +05:31:59.9 2000.00  22:00 1.185  WFC   30.0  180  r                                
 518180 uvex_4151o U     18:42:42.16 +05:31:59.9 2000.00  22:01 1.181  WFC  120.0  180  U                                
 518181 uvex_4151o g     18:42:42.16 +05:31:59.9 2000.00  22:04 1.177  WFC   29.5  180  g                                
 518182 uvex_4156 He1    18:43:05.58 +04:32:00.0 2000.00  22:05 1.184  WFC  119.5  180  HeI 5870                         
 518183 uvex_4156 r      18:43:05.59 +04:32:00.0 2000.00  22:07 1.180  WFC   30.1  180  r                                
 518184 uvex_4156 U      18:43:05.59 +04:31:59.9 2000.00  22:09 1.176  WFC  120.0  180  U                                
 518185 uvex_4156 g      18:43:05.59 +04:31:59.9 2000.00  22:11 1.173  WFC   30.0  180  g                                
 518186 uvex_4156o He1   18:43:25.66 +04:37:00.0 2000.00  22:13 1.169  WFC  120.0  180  HeI 5870                         
 518187 uvex_4156o r     18:43:25.66 +04:37:00.0 2000.00  22:15 1.165  WFC   30.1  180  r                                
 518188 uvex_4156o U     18:43:25.66 +04:37:00.0 2000.00  22:16 1.162  WFC  120.0  180  U                                
 518189 uvex_4156o g     18:43:25.66 +04:37:00.0 2000.00  22:19 1.158  WFC   30.1  180  g                                
 518190 uvex_4157 He1    18:43:05.88 +06:00:00.1 2000.00  22:20 1.142  WFC  119.5  180  HeI 5870                         
 518191 uvex_4157 r      18:43:05.88 +06:00:00.0 2000.00  22:23 1.139  WFC   29.5  180  r                                
 518192 uvex_4157 U      18:43:05.88 +06:00:00.0 2000.00  22:24 1.136  WFC  119.5  180  U                                
 518193 uvex_4157 g      18:43:05.87 +05:59:59.9 2000.00  22:27 1.133  WFC   29.6  180  g                                
 518194 SA110-246 35s He 18:41:50.88 +00:05:08.9 2000.00  22:29 1.188  WFC   35.1  180  HeI 5870                         
 518195 SA110-246 35s U  18:41:50.87 +00:05:09.0 2000.00  22:31 1.185  WFC   35.1  180  U                                
 518196 SA110-246 5s r   18:41:50.88 +00:05:09.0 2000.00  22:32 1.183  WFC    5.1  180  r                                
 518197 SA110-246 5s g   18:41:50.88 +00:05:09.0 2000.00  22:33 1.182  WFC    5.1  180  g                                
 518198 uvex_4157o He1   18:43:25.99 +06:05:00.3 2000.00  22:35 1.121  WFC  120.0  180  HeI 5870                         
 518199 uvex_4157o r     18:43:25.99 +06:05:00.2 2000.00  22:37 1.119  WFC   30.1  180  r                                
 518200 uvex_4157o U     18:43:25.99 +06:05:00.0 2000.00  22:39 1.116  WFC  120.0  180  U                                
 518201 uvex_4157o g     18:43:25.98 +06:05:00.0 2000.00  22:41 1.114  WFC   30.1  180  g                                
 518202 uvex_4162 He1    18:43:48.85 +03:37:00.3 2000.00  22:43 1.134  WFC  119.5  180  HeI 5870                         
 518203 uvex_4162 r      18:43:48.84 +03:37:00.0 2000.00  22:46 1.132  WFC   30.1  180  r                                
 518204 uvex_4162 U      18:43:48.84 +03:37:00.0 2000.00  22:47 1.130  WFC  120.0  180  U                                
 518205 uvex_4162 g      18:43:48.84 +03:37:00.0 2000.00  22:49 1.128  WFC   29.5  180  g                                
 518206 uvex_4162o He1   18:44:08.89 +03:41:59.9 2000.00  22:51 1.125  WFC  120.0  180  HeI 5870                         
 518207 uvex_4162o r     18:44:08.89 +03:41:59.9 2000.00  22:53 1.123  WFC   30.1  180  r                                
 518208 uvex_4162o U     18:44:08.88 +03:41:59.9 2000.00  22:55 1.122  WFC  120.0  180  U                                
 518209 uvex_4162o g     18:44:08.88 +03:42:00.0 2000.00  22:57 1.120  WFC   30.1  180  g                                
 518210 uvex_4163 He1    18:43:49.55 +06:33:00.1 2000.00  22:58 1.094  WFC  119.5  180  HeI 5870                         
 518211 uvex_4163 r      18:43:49.55 +06:32:59.9 2000.00  23:01 1.092  WFC   30.0  180  r                                
 518212 uvex_4163 U      18:43:49.56 +06:33:00.0 2000.00  23:02 1.091  WFC  120.0  180  U                                
 518213 uvex_4163 g      18:43:49.54 +06:33:00.0 2000.00  23:05 1.090  WFC   30.1  180  g                                
 518214 uvex_4163o He1   18:44:09.68 +06:37:59.8 2000.00  23:06 1.088  WFC  119.5  180  HeI 5870                         
 518215 uvex_4163o r     18:44:09.68 +06:37:59.9 2000.00  23:09 1.087  WFC   30.1  180  r                                
 518216 uvex_4163o U     18:44:09.67 +06:38:00.0 2000.00  23:10 1.086  WFC  120.0  180  U                                
 518217 uvex_4163o g     18:44:09.68 +06:37:59.9 2000.00  23:13 1.085  WFC   29.5  180  g                                
 518218 uvex_4164 He1    18:43:49.56 +05:04:59.8 2000.00  23:14 1.097  WFC  120.0  180  HeI 5870                         
 518219 uvex_4164 r      18:43:49.55 +05:04:59.9 2000.00  23:17 1.096  WFC   29.6  180  r                                
 518220 uvex_4164 U      18:43:49.56 +05:05:00.0 2000.00  23:18 1.095  WFC  120.1  180  U                                
 518221 uvex_4164 g      18:43:49.55 +05:04:59.9 2000.00  23:20 1.094  WFC   30.1  180  g                                
 518222 uvex_4164o He1   18:44:09.64 +05:10:00.0 2000.00  23:22 1.093  WFC  120.0  180  HeI 5870                         
 518223 uvex_4164o r     18:44:09.64 +05:10:00.0 2000.00  23:24 1.093  WFC   30.1  180  r                                
 518224 uvex_4164o U     18:44:09.64 +05:10:00.0 2000.00  23:25 1.092  WFC  120.0  180  U                                
 518225 uvex_4164o g     18:44:09.63 +05:10:00.0 2000.00  23:28 1.092  WFC   30.1  180  g                                
 518226 uvex_4169 He1    18:44:32.98 +04:10:00.1 2000.00  23:29 1.100  WFC  120.0  180  HeI 5870                         
 518227 uvex_4169 r      18:44:32.97 +04:09:59.9 2000.00  23:32 1.100  WFC   30.1  180  r                                
 518228 uvex_4169 U      18:44:32.98 +04:10:00.0 2000.00  23:33 1.100  WFC  120.1  180  U                                
 518229 uvex_4169 g      18:44:32.98 +04:09:59.9 2000.00  23:36 1.100  WFC   30.1  180  g                                
 518230 uvex_4169o He1   18:44:53.03 +04:15:00.0 2000.00  23:37 1.099  WFC  120.0  180  HeI 5870                         
 518231 uvex_4169o r     18:44:53.04 +04:14:59.9 2000.00  23:40 1.099  WFC   30.1  180  r                                
 518232 uvex_4169o U     18:44:53.03 +04:15:00.0 2000.00  23:41 1.099  WFC  120.0  180  U                                
 518233 uvex_4169o g     18:44:53.03 +04:15:00.0 2000.00  23:44 1.099  WFC   30.1  180  g                                
 518234 uvex_4170 He1    18:44:33.10 +07:06:00.3 2000.00  23:45 1.076  WFC  120.0  180  HeI 5870                         
 518235 uvex_4170 r      18:44:33.11 +07:06:00.0 2000.00  23:48 1.077  WFC   30.1  180  r                                
 518236 uvex_4170 U      18:44:33.10 +07:06:00.0 2000.00  23:49 1.077  WFC  120.0  180  U                                
 518237 uvex_4170 g      18:44:33.10 +07:05:59.9 2000.00  23:51 1.078  WFC   30.1  180  g                                
 518238 uvex_4170o He1   18:44:53.26 +07:11:00.0 2000.00  23:53 1.077  WFC  120.0  180  HeI 5870                         
 518239 uvex_4170o r     18:44:53.27 +07:10:59.9 2000.00  23:55 1.078  WFC   30.1  180  r                                
 518240 uvex_4170o U     18:44:53.27 +07:11:00.0 2000.00  23:56 1.079  WFC  120.0  180  U                                
 518241 uvex_4170o g     18:44:53.26 +07:11:00.0 2000.00  23:59 1.079  WFC   30.1  180  g                                
 518242 ST_L111_773 35s  19:37:15.60 +00:13:16.9 2000.00  00:01 1.147  WFC   34.5  180  HeI 5870                         
 518243 ST_L111_773 5s r 19:37:15.61 +00:13:17.0 2000.00  00:02 1.146  WFC    5.1  180  r                                
 518244 ST_L111_773 5s g 19:37:15.60 +00:13:16.9 2000.00  00:03 1.146  WFC    5.1  180  g                                
 518245 ST_L111_773 35s  19:37:15.59 +00:13:16.9 2000.00  00:05 1.145  WFC   35.1  180  U                                
 518246 uvex_6259o He1   20:55:00.69 +52:38:59.5 2000.00  00:08 1.156  WFC  120.1  180  HeI 5870                         
 518247 uvex_6259o r     20:55:00.70 +52:38:59.4 2000.00  00:11 1.153  WFC   30.1  180  r                                
 518248 uvex_6259o U     20:55:00.70 +52:38:59.3 2000.00  00:12 1.151  WFC  120.0  180  U                                
 518249 uvex_6259o g     20:55:00.70 +52:38:59.4 2000.00  00:14 1.148  WFC   30.1  180  g                                
 518250 uvex_6262 He1    20:54:33.64 +45:02:59.2 2000.00  00:16 1.096  WFC  120.0  180  HeI 5870                         
 518251 uvex_6262 r      20:54:33.64 +45:02:59.5 2000.00  00:18 1.094  WFC   30.1  180  r                                
 518252 uvex_6262 U      20:54:33.65 +45:02:59.6 2000.00  00:20 1.092  WFC  120.0  180  U                                
 518253 uvex_6262 g      20:54:33.65 +45:02:59.5 2000.00  00:22 1.090  WFC   30.1  180  g                                
 518254 uvex_6262o He1   20:55:02.00 +45:07:59.4 2000.00  00:24 1.088  WFC  120.0  180  HeI 5870                         
 518255 uvex_6262o r     20:55:01.99 +45:07:59.5 2000.00  00:26 1.086  WFC   30.1  180  r                                
 518256 uvex_6262o U     20:55:02.00 +45:07:59.4 2000.00  00:27 1.084  WFC  120.0  180  U                                
 518257 uvex_6262o g     20:55:02.00 +45:07:59.4 2000.00  00:30 1.082  WFC   30.1  180  g                                
 518258 uvex_6264 He1    20:54:50.44 +48:32:00.0 2000.00  00:31 1.099  WFC  120.0  180  HeI 5870                         
 518259 uvex_6264 r      20:54:50.44 +48:31:59.5 2000.00  00:34 1.097  WFC   30.1  180  r                                
 518260 uvex_6264 U      20:54:50.45 +48:31:59.4 2000.00  00:35 1.095  WFC  120.0  180  U                                
 518261 uvex_6264 g      20:54:50.44 +48:31:59.5 2000.00  00:38 1.094  WFC   30.1  180  g                                
 518262 uvex_6264o He1   20:55:20.69 +48:36:59.4 2000.00  00:39 1.093  WFC  120.0  180  HeI 5870                         
