 550289 861056 CuAr+CuNe  5:39:32.40 -02:28:02.8 2000.00  22:00 1.252  IDS    2.0   30  Clear+Clear   1.5  48.6 6297.9   
 550290 861056 300s       5:39:31.96 -02:28:02.5 2000.00  22:02 1.261  IDS  300.0   30  Clear+Clear   1.5  48.6 6297.9   
 550291 1596206 CuAr+CuN  5:37:58.07 -03:00:00.7 2000.00  22:09 1.283  IDS    2.0   35  Clear+Clear   1.5  48.6 6297.9   
 550292 1596206 300s      5:37:58.23 -03:00:00.6 2000.00  22:11 1.294  IDS  300.0   35  Clear+Clear   1.5  48.6 6297.9   
 550293 936072 CuAr+CuNe  5:39:43.88 -02:31:17.1 2000.00  22:17 1.294  IDS    2.0   35  Clear+Clear   1.5  48.6 6297.9   
 550294 936072 300s       5:39:43.80 -02:31:16.3 2000.00  22:19 1.305  IDS  300.0   35  Clear+Clear   1.5  48.6 6297.9   
 550295 203039 CuAr+CuNe  5:38:53.68 -02:33:32.1 2000.00  22:26 1.322  IDS    2.0   40  Clear+Clear   1.5  48.6 6297.9   
 550296 203039 240s       5:38:53.78 -02:33:30.4 2000.00  22:28 1.333  IDS  240.0   40  Clear+Clear   1.5  48.6 6297.9   
 550297 1564058 CuAr+CuN  5:40:12.82 -02:22:11.9 2000.00  22:33 1.338  IDS    2.0   40  Clear+Clear   1.5  48.6 6297.9   
 550298 1564058 240s      5:40:12.62 -02:22:09.6 2000.00  22:35 1.350  IDS  240.0   40  Clear+Clear   1.5  48.6 6297.9   SDSU Autoguider on AG0 window is lost!
 550299 sigOriD 5s        5:38:45.18 -02:36:01.6 2000.00  23:41 1.711  IDS    5.0   55  Clear+Clear   1.5  48.6 6297.9   
 550300 sigOriD CuAr+CuN  5:38:45.32 -02:36:01.9 2000.00  23:44 1.735  IDS    2.0   55  Clear+Clear   1.5  48.6 6297.9   
 550301 634052 CuAr+CuNe  5:39:18.74 -02:29:29.9 2000.00  23:49 1.771  IDS    2.0   55  Clear+Clear   1.5  48.6 6297.9   
 550302 634052 240s       5:39:18.58 -02:29:31.2 2000.00  23:51 1.806  IDS  240.0   55  Clear+Clear   1.5  48.6 6297.9   Dos objetos en la rendija
 550303 1626148 CuAr+CuN  5:39:43.52 -02:58:55.9 2000.00  23:57 1.858  IDS    2.0   55  Clear+Clear   1.5  48.6 6297.9   
 550304 1626148 300s      5:39:43.60 -02:58:56.5 2000.00  23:59 1.900  IDS  300.0   55  Clear+Clear   1.5  48.6 6297.9   
 550305 1396071 CuAr+CuN  5:40:13.68 -02:28:21.9 2000.00  00:07 1.934  IDS    2.0   55  Clear+Clear   1.5  48.6 6297.9   
 550306 1396071 300s      5:40:13.98 -02:28:21.5 2000.00  00:08 1.985  IDS  300.0   55  Clear+Clear   1.5  48.6 6297.9   
 550307 735131 CuAr+CuNe  5:39:22.07 -02:44:05.3 2000.00  00:15 2.054  IDS    2.0   55  Clear+Clear   1.5  48.6 6297.9   
 550308 735131 300s       5:39:22.41 -02:44:05.7 2000.00  00:17 2.111  IDS  300.0   55  Clear+Clear   1.5  48.6 6297.9   
 550309 fore6 CuAr+CuNe   5:38:39.32 -02:49:03.4 2000.00  00:23 2.188  IDS    2.0   55  Clear+Clear   1.5  48.6 6297.9   
 550310 fore6 180s        5:38:39.32 -02:49:03.4 2000.00  00:24 2.228  IDS  180.0   55  Clear+Clear   1.5  48.6 6297.9   
 550311 fore7 CuAr+CuNe   5:37:30.57 -02:43:49.4 2000.00  00:29 2.295  IDS    2.0   60  Clear+Clear   1.5  48.6 6297.9   
 550312 fore7 180s        5:37:30.44 -02:43:47.0 2000.00  00:31 2.348  IDS  180.0   60  Clear+Clear   1.5  48.6 6297.9   
 550313 fore8 CuAr+CuNe   5:36:57.82 -02:25:42.9 2000.00  00:35 2.392  IDS    2.0   60  Clear+Clear   1.5  48.6 6297.9   
 550314 fore8 180s        5:36:57.94 -02:25:42.3 2000.00  00:36 2.453  IDS  180.0   60  Clear+Clear   1.5  48.6 6297.9   
 550315 1548068 CuAr+CuN  5:40:20.33 -02:26:10.3 2000.00  00:41 2.453  IDS    2.0   60  Clear+Clear   1.5  48.6 6297.9   
 550316 1548068 45s       5:40:20.28 -02:26:10.7 2000.00  00:43 2.488  IDS   45.0   60  Clear+Clear   1.5  48.6 6297.9   
 550317 BD+75_325 CuAr+C  8:10:38.16 +74:57:46.6 2000.00  00:56 1.496  IDS    2.0  145  Clear+Clear   1.5  48.6 6297.9   
 550318 BD+75_325 30s     8:10:37.38 +74:57:47.7 2000.00  00:58 1.498  IDS   45.0  145  Clear+Clear   1.5  48.6 6297.9   45s
 550319 BD+75_325 90s     8:10:37.21 +74:57:47.7 2000.00  00:59 1.500  IDS   90.0  145  Clear+Clear   1.5  48.6 6297.9   
 550320 BD+08_2015 CuAr+  8:12:59.41 +07:46:11.6 1950.00  01:09 1.213  IDS    2.0   50  Clear+Clear   1.5  48.6 6297.9   
