 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 590535 FIELD24          21:07:33.99 +45:31:43.0  2000.00 20:14 1.046  WFC   29.5  180  CLEAR                            
 590536 FIELD24          21:07:34.00 +45:31:42.9  2000.00 20:15 1.045  WFC   29.6  180  CLEAR                            
 590537 FIELD24          21:07:33.99 +45:31:43.0  2000.00 20:16 1.045  WFC   30.1  180  CLEAR                            
 590538 FIELD24          21:07:33.99 +45:31:43.0  2000.00 20:17 1.045  WFC   30.1  180  CLEAR                            
 590539 FIELD24          21:07:33.99 +45:31:43.0  2000.00 20:18 1.045  WFC   30.1  180  CLEAR                            
 590540 FIELD24          21:07:34.00 +45:31:43.0  2000.00 20:19 1.045  WFC   30.1  180  CLEAR                            
 590541 FIELD24          21:07:33.99 +45:31:43.0  2000.00 20:20 1.045  WFC   29.5  180  CLEAR                            
 590542 FIELD24          21:07:33.99 +45:31:42.9  2000.00 20:21 1.045  WFC   30.1  180  CLEAR                            
 590543 FIELD24          21:07:33.99 +45:31:43.0  2000.00 20:22 1.045  WFC   29.0  180  CLEAR                            
 590544 FIELD24          21:07:34.00 +45:31:42.9  2000.00 20:23 1.045  WFC   30.1  180  CLEAR                            
 590545 FIELD24          21:07:33.99 +45:31:43.0  2000.00 20:24 1.045  WFC   30.1  180  CLEAR                            
 590546 FIELD24          21:07:34.00 +45:31:42.9  2000.00 20:25 1.045  WFC   30.1  180  CLEAR                            
 590547 FIELD24          21:07:34.00 +45:31:42.9  2000.00 20:26 1.045  WFC   30.1  180  CLEAR                            
 590548 FIELD24          21:07:33.99 +45:31:43.0  2000.00 20:27 1.044  WFC   30.1  180  CLEAR                            
 590549 FIELD24          21:07:33.99 +45:31:43.0  2000.00 20:28 1.045  WFC   29.6  180  CLEAR                            
 590550 FIELD24          21:07:34.00 +45:31:42.9  2000.00 20:29 1.045  WFC   30.1  180  CLEAR                            
 590551 FIELD24          21:07:34.00 +45:31:42.9  2000.00 20:30 1.045  WFC   30.1  180  CLEAR                            
 590552 FIELD24          21:07:34.00 +45:31:43.0  2000.00 20:31 1.045  WFC   30.1  180  CLEAR                            
 590553 FIELD24          21:07:33.99 +45:31:43.0  2000.00 20:32 1.045  WFC   30.1  180  CLEAR                            
 590554 FIELD24          21:07:33.99 +45:31:42.9  2000.00 20:33 1.045  WFC   30.1  180  CLEAR                            
 590555 FIELD24          21:07:34.00 +45:31:42.9  2000.00 20:34 1.045  WFC   30.1  180  CLEAR                            
