 566718 field 13 g        0:00:00.00 +00:00:00.0 2000.00  22:04 1.779  WFC   30.1  180  g                                
 566720 field 13 g       17:55:00.00 +02:21:59.9 2000.00  22:06 1.724  WFC   30.1  180  g                                
 566721 field 13 g       17:55:00.01 +02:21:59.9 2000.00  22:07 1.715  WFC   30.1  180  g                                
 566722 field 13 g       17:54:59.99 +02:22:00.0 2000.00  22:08 1.707  WFC   29.5  180  g                                
 566723 field 13 g       17:54:59.99 +02:22:00.0 2000.00  22:09 1.698  WFC   30.1  180  g                                
 566724 field 13 g       17:54:59.99 +02:22:00.0 2000.00  22:10 1.690  WFC   30.1  180  g                                
 566725 field 13 g       17:55:00.00 +02:22:00.0 2000.00  22:11 1.681  WFC   30.1  180  g                                
 566726 field 13 g       17:54:59.99 +02:22:00.0 2000.00  22:12 1.673  WFC   30.1  180  g                                
 566727 field 13 g       17:54:59.98 +02:22:00.0 2000.00  22:13 1.665  WFC   30.1  180  g                                
 566728 field 13 g       17:54:59.99 +02:22:00.0 2000.00  22:14 1.657  WFC   30.1  180  g                                
 566729 field 13 g       17:54:59.99 +02:22:00.0 2000.00  22:15 1.649  WFC   30.1  180  g                                
 566730 field 13 g       17:55:00.00 +02:22:00.0 2000.00  22:16 1.642  WFC   30.1  180  g                                
 566731 field 13 g       17:54:59.99 +02:21:59.9 2000.00  22:17 1.634  WFC   30.1  180  g                                
 566732 field 13 g       17:55:00.00 +02:21:59.9 2000.00  22:18 1.627  WFC   30.1  180  g                                
 566733 field 13 g       17:55:00.00 +02:21:59.9 2000.00  22:19 1.619  WFC   29.6  180  g                                
 566734 field 13 g       17:54:59.99 +02:21:59.9 2000.00  22:20 1.612  WFC   30.1  180  g                                
 566735 field 13 g       17:55:00.00 +02:21:59.9 2000.00  22:21 1.605  WFC   30.1  180  g                                
 566736 field 13 g       17:55:00.00 +02:21:59.9 2000.00  22:22 1.598  WFC   29.5  180  g                                
 566737 field 13 g       17:55:00.00 +02:21:59.9 2000.00  22:23 1.591  WFC   29.6  180  g                                
 566738 field 13 g       17:54:59.99 +02:22:00.0 2000.00  22:24 1.584  WFC   30.1  180  g                                
 566739 field 13 g       17:54:59.99 +02:22:00.0 2000.00  22:25 1.577  WFC   30.1  180  g                                
 566740 field 13 g       17:55:00.00 +02:22:00.0 2000.00  22:26 1.570  WFC   30.1  180  g                                
 566741 field 13 g       17:54:59.99 +02:22:00.0 2000.00  22:27 1.564  WFC   30.1  180  g                                
 566742 field 13 g       17:55:00.00 +02:21:59.9 2000.00  22:28 1.557  WFC   29.6  180  g                                
 566743 field 13 g       17:54:59.99 +02:22:00.0 2000.00  22:29 1.551  WFC   30.1  180  g                                
 566744 field 13 g       17:55:00.00 +02:22:00.0 2000.00  22:30 1.544  WFC   30.0  180  g                                
 566745 field 13 g       17:55:00.00 +02:22:00.0 2000.00  22:31 1.538  WFC   30.1  180  g                                
 566746 field 13 g       17:54:59.99 +02:22:00.0 2000.00  22:32 1.532  WFC   30.1  180  g                                
 566747 field 13 g       17:55:00.00 +02:21:59.9 2000.00  22:33 1.525  WFC   30.1  180  g                                
 566748 field 13 g       17:55:00.00 +02:22:00.0 2000.00  22:34 1.519  WFC   30.1  180  g                                
 566749 field 13 g       17:55:00.00 +02:22:00.0 2000.00  22:35 1.513  WFC   30.1  180  g                                
 566750 field 13 g       17:54:59.99 +02:21:59.9 2000.00  22:36 1.507  WFC   30.1  180  g                                
 566751 field 13 g       17:54:59.99 +02:21:59.9 2000.00  22:37 1.501  WFC   30.1  180  g                                
 566752 field 13 g       17:55:00.00 +02:21:59.9 2000.00  22:38 1.496  WFC   30.1  180  g                                
 566753 field 13 g       17:55:00.00 +02:21:59.9 2000.00  22:39 1.490  WFC   30.1  180  g                                
 566754 field 13 g       17:55:00.00 +02:22:00.0 2000.00  22:40 1.484  WFC   30.1  180  g                                
 566755 field 13 g       17:54:59.99 +02:22:00.0 2000.00  22:41 1.479  WFC   30.1  180  g                                
 566756 field 13 g       17:55:00.00 +02:21:59.9 2000.00  22:42 1.473  WFC   30.1  180  g                                
 566757 field 13 g       17:55:00.00 +02:22:00.0 2000.00  22:43 1.468  WFC   30.1  180  g                                
 566758 field 13 g       17:55:00.00 +02:22:00.0 2000.00  22:44 1.462  WFC   30.1  180  g                                
 566759 field 13 g       17:55:00.00 +02:22:00.0 2000.00  22:45 1.457  WFC   30.1  180  g                                
 566760 field 13 g       17:55:00.00 +02:21:59.9 2000.00  22:46 1.452  WFC   30.1  180  g                                
 566761 field 13 g       17:55:00.00 +02:21:59.9 2000.00  22:47 1.447  WFC   30.1  180  g                                
 566762 field 13 g       17:55:00.00 +02:22:00.0 2000.00  22:48 1.441  WFC   30.1  180  g                                
 566763 field 13 g       17:54:59.99 +02:22:00.0 2000.00  22:49 1.436  WFC   30.1  180  g                                
 566764 field 13 g       17:54:59.99 +02:22:00.0 2000.00  22:50 1.431  WFC   29.6  180  g                                
 566765 field 13 g       17:55:00.00 +02:22:00.0 2000.00  22:51 1.427  WFC   29.5  180  g                                
