 551985 sa95107           3:53:24.99 +00:01:39.9 2000.00  21:30 1.690  WFC   20.0  180  r                                
 551986 sa101424          9:57:27.00 -00:17:03.9 2000.00  21:33 1.554  WFC    9.5  180  r                                
 551987 sa101424          9:57:27.00 -00:17:04.0 2000.00  21:35 1.544  WFC    9.5  180  i                                
 551988 sa101424          9:57:26.99 -00:17:04.0 2000.00  21:36 1.537  WFC   14.6  180  V                                
 551989 2000ee104         9:27:32.33 +33:47:57.0 2000.00  21:39 1.144  WFC   27.1  180  r                                
 551990 2000ee104         9:27:32.33 +33:47:57.0 2000.00  21:40 1.142  WFC   27.1  180  r                                
 551991 2000ee104         9:27:32.34 +33:47:57.0 2000.00  21:41 1.140  WFC   27.1  180  r                                
 551992 2000ee104         9:27:32.33 +33:47:57.0 2000.00  21:42 1.138  WFC   27.1  180  r                                
 551993 2007da            9:47:08.00 +23:41:40.9 2000.00  21:45 1.199  WFC   32.1  180  r                                
 551994 2007da            9:47:07.99 +23:41:41.0 2000.00  21:46 1.195  WFC   32.1  180  r                                
 551995 2007da            9:47:08.00 +23:41:41.0 2000.00  21:47 1.192  WFC   32.0  180  r                                
 551996 2007da            9:47:08.00 +23:41:41.0 2000.00  21:48 1.189  WFC   32.1  180  r                                
 551997 2007da            9:47:07.99 +23:41:41.0 2000.00  21:51 1.182  WFC   32.1  180  r                                
 551998 2007da            9:47:07.99 +23:41:41.0 2000.00  21:52 1.179  WFC   32.1  180  r                                
 551999 2007da            9:47:07.99 +23:41:40.9 2000.00  21:53 1.176  WFC   32.1  180  r                                
 552000 2007da            9:47:07.99 +23:41:40.9 2000.00  21:54 1.173  WFC   32.1  180  r                                
 552001 2007da            9:47:08.00 +23:41:41.0 2000.00  21:55 1.171  WFC   31.6  180  r                                
 552002 2007da            9:47:07.99 +23:41:40.9 2000.00  21:56 1.168  WFC   32.1  180  r                                
 552003 2007da            9:47:07.99 +23:41:40.9 2000.00  21:57 1.165  WFC   32.0  180  r                                
 552004 2007da            9:47:07.99 +23:41:40.9 2000.00  21:58 1.162  WFC   32.1  180  r                                
 552005 2000ee104         9:27:32.34 +33:47:56.8 2000.00  22:01 1.099  WFC   27.1  180  r                                
 552006 2000ee104         9:27:32.33 +33:47:57.0 2000.00  22:02 1.097  WFC   27.1  180  r                                
 552007 2000ee104         9:27:32.33 +33:47:57.0 2000.00  22:03 1.095  WFC   27.0  180  r                                
 552008 2000ee104         9:27:32.34 +33:47:56.9 2000.00  22:04 1.094  WFC   27.1  180  r                                
 552009 2007da            9:47:07.99 +23:41:41.0 2000.00  22:06 1.141  WFC   32.1  180  r                                
 552010 2007da            9:47:07.99 +23:41:40.9 2000.00  22:07 1.139  WFC   32.1  180  r                                
 552011 2007da            9:47:08.00 +23:41:40.9 2000.00  22:08 1.137  WFC   31.5  180  r                                
 552012 2007da            9:47:07.99 +23:41:40.9 2000.00  22:09 1.134  WFC   32.1  180  r                                
 552013 2000ee104         9:27:32.34 +33:47:56.7 2000.00  22:11 1.081  WFC   27.1  180  r                                
 552014 2000ee104         9:27:32.33 +33:47:56.9 2000.00  22:12 1.080  WFC   27.1  180  r                                
 552015 2000ee104         9:27:32.34 +33:47:56.9 2000.00  22:13 1.078  WFC   26.6  180  r                                
 552016 2000ee104         9:27:32.34 +33:47:57.0 2000.00  22:14 1.077  WFC   27.1  180  r                                
 552017 2007da            9:47:08.00 +23:41:41.0 2000.00  22:16 1.119  WFC   32.1  180  r                                
 552018 2007da            9:47:07.99 +23:41:40.9 2000.00  22:17 1.116  WFC   32.1  180  r                                
 552019 2007da            9:47:08.00 +23:41:41.0 2000.00  22:18 1.114  WFC   32.1  180  r                                
 552020 2007da            9:47:08.00 +23:41:41.0 2000.00  22:19 1.112  WFC   32.1  180  r                                
 552021 2000ee104         9:27:32.34 +33:47:56.8 2000.00  22:21 1.066  WFC   27.1  180  r                                
 552022 2000ee104         9:27:32.33 +33:47:57.0 2000.00  22:22 1.065  WFC   27.1  180  r                                
 552023 2000ee104         9:27:32.34 +33:47:57.0 2000.00  22:23 1.063  WFC   27.1  180  r                                
 552024 2000ee104         9:27:32.34 +33:47:56.9 2000.00  22:24 1.062  WFC   27.1  180  r                                
 552025 2007da            9:47:08.00 +23:41:41.0 2000.00  22:26 1.098  WFC   32.1  180  r                                
 552026 2007da            9:47:07.99 +23:41:41.0 2000.00  22:27 1.096  WFC   32.1  180  r                                
 552027 2007da            9:47:07.99 +23:41:40.9 2000.00  22:28 1.094  WFC   31.5  180  r                                
 552028 2007da            9:47:07.99 +23:41:41.0 2000.00  22:29 1.092  WFC   32.1  180  r                                
 552029 2000ee104         9:27:32.34 +33:47:57.0 2000.00  22:32 1.052  WFC   27.1  180  r                                
 552030 2000ee104         9:27:32.34 +33:47:57.0 2000.00  22:33 1.051  WFC   26.6  180  r                                
 552031 2000ee104         9:27:32.33 +33:47:56.9 2000.00  22:33 1.050  WFC   26.0  180  r                                
 552032 2000ee104         9:27:32.34 +33:47:57.0 2000.00  22:34 1.049  WFC   27.1  180  r                                
 552033 2007da            9:47:08.00 +23:41:40.9 2000.00  22:36 1.080  WFC   31.5  180  r                                
 552034 2007da            9:47:08.00 +23:41:41.0 2000.00  22:37 1.078  WFC   32.1  180  r                                
 552035 2007da            9:47:08.00 +23:41:40.9 2000.00  22:39 1.077  WFC   32.1  180  r                                
 552036 2007da            9:47:08.00 +23:41:40.9 2000.00  22:40 1.075  WFC   32.1  180  r                                
 552037 2007dd            9:51:45.34 -01:33:35.2 2000.00  22:48 1.255  WFC   20.1  180  r                                
 552038 2007dd            9:51:45.34 -01:33:35.2 2000.00  22:49 1.253  WFC   20.1  180  r                                
 552039 2007dd            9:51:45.35 -01:33:35.1 2000.00  22:51 1.242  WFC  300.0  180  r                                
 552040 2007dd            9:51:45.34 -01:33:35.1 2000.00  22:58 1.224  WFC  599.7  180  r                                
 552041 2007dd            9:51:45.34 -01:33:35.1 2000.00  23:09 1.206  WFC  599.7  180  r                                
 552042 2007da61          8:49:05.68 +04:59:37.0 2000.00  23:22 1.093  WFC   30.1  180  r                                
 552043 2007da61          8:49:05.68 +04:59:37.0 2000.00  23:23 1.093  WFC   30.1  180  r                                
 552044 2007da61          8:49:05.68 +04:59:37.0 2000.00  23:24 1.094  WFC   30.1  180  r                                
 552045 2007da61          8:49:05.68 +04:59:36.9 2000.00  23:25 1.094  WFC   30.1  180  r                                
 552046 2007da61          8:49:05.68 +04:59:36.9 2000.00  23:26 1.094  WFC   29.5  180  r                                
 552047 2007da61          8:49:05.67 +04:59:36.9 2000.00  23:27 1.094  WFC   30.1  180  r                                
 552048 2007da61          8:49:05.68 +04:59:36.9 2000.00  23:28 1.094  WFC   30.1  180  r                                
 552049 2007da61          8:49:05.68 +04:59:37.0 2000.00  23:29 1.095  WFC   30.1  180  r                                
 552050 2007da61          8:49:05.67 +04:59:36.9 2000.00  23:30 1.095  WFC   30.1  180  r                                
 552051 2007da61          8:49:05.68 +04:59:36.9 2000.00  23:31 1.095  WFC   30.1  180  r                                
 552052 2007da61          8:49:05.68 +04:59:37.0 2000.00  23:32 1.096  WFC   30.1  180  r                                
 552053 2007da61          8:49:05.67 +04:59:37.0 2000.00  23:33 1.096  WFC   30.1  180  r                                
 552054 2007da61          8:49:05.67 +04:59:37.0 2000.00  23:34 1.096  WFC   30.1  180  r                                
 552055 2007da61          8:49:05.68 +04:59:37.0 2000.00  23:35 1.097  WFC   30.1  180  r                                
 552056 2007da61          8:49:05.67 +04:59:36.9 2000.00  23:36 1.097  WFC   30.1  180  r                                
 552057 2007da61          8:49:05.68 +04:59:37.0 2000.00  23:37 1.098  WFC   30.1  180  r                                
 552058 2007da61          8:49:05.67 +04:59:37.0 2000.00  23:38 1.098  WFC   30.1  180  r                                
 552059 2007da61          8:49:05.68 +04:59:37.0 2000.00  23:39 1.099  WFC   30.1  180  r                                
 552060 2007da61          8:49:05.68 +04:59:37.0 2000.00  23:40 1.099  WFC   29.5  180  r                                
 552061 2007da61          8:49:05.68 +04:59:37.0 2000.00  23:41 1.100  WFC   30.1  180  r                                
 552062 2007da            9:47:07.99 +23:41:40.9 2000.00  23:51 1.008  WFC   32.0  180  r                                
 552063 2007da            9:47:08.00 +23:41:40.9 2000.00  23:52 1.007  WFC   32.1  180  r                                
 552064 2007da            9:47:08.00 +23:41:41.1 2000.00  23:53 1.007  WFC   32.1  180  r                                
 552065 2007da            9:47:08.00 +23:41:41.0 2000.00  23:54 1.007  WFC   32.1  180  r                                
 552066 2000ee104         9:27:32.34 +33:47:57.0 2000.00  23:57 1.004  WFC   27.1  180  r                                
 552067 2000ee104         9:27:32.34 +33:47:56.9 2000.00  23:58 1.004  WFC   27.1  180  r                                
 552068 2000ee104         9:27:32.34 +33:47:57.0 2000.00  23:59 1.004  WFC   27.1  180  r                                
 552069 2000ee104         9:27:32.34 +33:47:57.0 2000.00  00:00 1.004  WFC   27.1  180  r                                
 552070 2007da            9:47:08.00 +23:41:41.0 2000.00  00:04 1.005  WFC   31.6  180  r                                
 552071 2007da            9:47:08.00 +23:41:41.0 2000.00  00:05 1.004  WFC   31.6  180  r                                
 552072 2007da            9:47:07.99 +23:41:40.9 2000.00  00:06 1.004  WFC   32.1  180  r                                
 552073 2007da            9:47:08.00 +23:41:40.8 2000.00  00:07 1.004  WFC   32.1  180  r                                
 552074 2000ee104         9:27:32.34 +33:47:56.9 2000.00  00:10 1.006  WFC   27.1  180  r                                
 552075 2000ee104         9:27:32.34 +33:47:57.0 2000.00  00:11 1.006  WFC   27.1  180  r                                
 552076 2000ee104         9:27:32.34 +33:47:57.0 2000.00  00:12 1.006  WFC   27.1  180  r                                
 552077 2000ee104         9:27:32.34 +33:47:57.0 2000.00  00:13 1.007  WFC   27.1  180  r                                
 552078 1999jv6          13:04:19.24 +08:20:16.2 2000.00  00:17 1.545  WFC   34.5  180  r                                
 552079 1999jv6          13:04:19.25 +08:20:16.3 2000.00  00:18 1.538  WFC   35.1  180  r                                
 552080 1999jv6          13:04:19.24 +08:20:16.3 2000.00  00:19 1.531  WFC   34.6  180  r                                
 552081 1999jv6          13:04:19.24 +08:20:16.3 2000.00  00:20 1.524  WFC   35.1  180  r                                
 552082 2004gu9          13:51:35.03 +61:25:17.5 2000.00  00:23 1.555  WFC   40.1  180  r                                
 552083 2004gu9          13:51:35.03 +61:25:17.4 2000.00  00:24 1.550  WFC   40.1  180  r                                
 552084 2004gu9          13:51:35.03 +61:25:17.5 2000.00  00:26 1.546  WFC   40.0  180  r                                
 552085 2004gu9          13:51:35.03 +61:25:17.5 2000.00  00:27 1.541  WFC   40.1  180  r                                
 552086 2007da            9:47:07.99 +23:41:40.6 2000.00  00:31 1.006  WFC   32.1  180  r                                
 552087 2007da            9:47:07.99 +23:41:40.9 2000.00  00:32 1.007  WFC   32.1  180  r                                
 552088 2007da            9:47:08.00 +23:41:40.9 2000.00  00:33 1.007  WFC   32.1  180  r                                
 552089 2007da            9:47:07.99 +23:41:40.9 2000.00  00:34 1.007  WFC   32.1  180  r                                
 552090 2000ee104         9:27:32.33 +33:47:56.9 2000.00  00:36 1.017  WFC   26.5  180  r                                
 552091 2000ee104         9:27:32.34 +33:47:56.9 2000.00  00:37 1.018  WFC   27.1  180  r                                
 552092 2000ee104         9:27:32.33 +33:47:57.0 2000.00  00:38 1.018  WFC   27.1  180  r                                
 552093 2000ee104         9:27:32.34 +33:47:57.0 2000.00  00:39 1.019  WFC   27.1  180  r                                
 552094 1999jv6          13:04:19.24 +08:20:16.2 2000.00  00:44 1.390  WFC   35.1  180  r                                
