 561448 A2294 R 0 30     17:24:12.00 +85:53:41.0 2000.00  01:52 1.843  WFC  359.3  180  R                                
 561449 A2294 B 30 30    17:24:30.62 +85:53:40.9 2000.00  02:01 1.841  WFC  719.1  180  B                                
 561450 A2294 R 30 30    17:24:30.62 +85:53:41.0 2000.00  02:15 1.840  WFC  359.9  180  R                                
 561451 A2294 B 20 0     17:24:30.58 +85:53:10.9 2000.00  02:25 1.838  WFC  719.6  180  B                                
 561452 A2294 R 20 0     17:24:30.59 +85:53:10.9 2000.00  02:40 1.837  WFC  359.9  180  R                                
 561453 A2294 B 20 -20   17:24:30.56 +85:52:51.0 2000.00  02:49 1.837  WFC  719.8  180  B                                
 561454 A2294 R 20 -20   17:24:30.56 +85:52:50.9 2000.00  03:03 1.838  WFC  359.9  180  R                                
 561455 A2294 B 0 -20    17:24:12.00 +85:52:51.0 2000.00  03:11 1.839  WFC  719.7  180  B                                
 561456 A2294 R 0 -20    17:24:11.99 +85:52:51.0 2000.00  03:25 1.840  WFC  359.8  180  R                                
 561457 A2294 B -20 -20  17:23:53.43 +85:52:51.0 2000.00  03:34 1.843  WFC  719.7  180  B                                
 561458 A2294 R -20 -20  17:23:53.43 +85:52:50.9 2000.00  03:48 1.845  WFC  359.8  180  R                                
 561459 A2294 B -30 30   17:23:44.06 +85:53:40.9 2000.00  04:02 1.849  WFC  117.5  180  B                                bad guiding
 561460 A2294 B -30 30   17:23:44.06 +85:53:40.9 2000.00  04:07 1.852  WFC  719.6  180  B                                
 561461 A2294 R -30 30   17:23:44.05 +85:53:40.9 2000.00  04:22 1.857  WFC  359.9  180  R                                
 561462 A2294 B 0 15     17:24:11.99 +85:53:26.0 2000.00  04:36 1.864  WFC  719.8  180  B                                
 561463 A2294 R 0 15     17:24:12.00 +85:53:26.0 2000.00  04:50 1.869  WFC  359.9  180  R                                
 561464 PG1633 B         16:35:26.00 +09:47:48.0 2000.00  05:08 1.490  WFC   60.1  180  B                                
 561465 PG1633 B         16:35:25.99 +09:47:48.0 2000.00  05:10 1.501  WFC   60.0  180  B                                
 561466 PG1633 R         16:35:26.00 +09:47:47.9 2000.00  05:16 1.536  WFC   10.1  180  R                                
 561467 PG1633 R         16:35:26.00 +09:47:47.9 2000.00  05:17 1.542  WFC   10.1  180  R                                
 561468 PG1633 V         16:35:26.00 +09:47:47.9 2000.00  05:19 1.556  WFC   20.1  180  V                                
 561469 PG1633 V         16:35:26.00 +09:47:48.0 2000.00  05:20 1.564  WFC   20.1  180  V                                
 561470 PG1633 I         16:35:25.99 +09:47:47.9 2000.00  05:22 1.575  WFC   10.1  180  i                                
 561471 PG1633 I         16:35:25.99 +09:47:47.8 2000.00  05:23 1.582  WFC   10.1  180  i                                
 561472 Bias             16:35:26.00 +09:47:48.0 2000.00  05:25 1.601  WFC    0.0  180  i                                
 561473 Bias             16:35:26.00 +09:47:47.9 2000.00  05:26 1.607  WFC    0.0  180  i                                
 561474 Bias             16:35:26.00 +09:47:48.0 2000.00  05:27 1.613  WFC    0.0  180  i                                
 561475 Bias             16:35:25.99 +09:47:48.1 2000.00  05:28 1.619  WFC    0.0  180  i                                
 561476 Bias             16:35:26.00 +09:47:47.9 2000.00  05:29 1.625  WFC    0.0  180  i                                
 561477 Bias              0:00:00.00 +00:00:00.0 2000.00  05:29 1.490  WFC    0.0  180  i                                
 561478 Bias              0:00:00.00 +00:00:00.0 2000.00  05:30 1.469  WFC    0.1  180  i                                
 561479 Bias              0:00:00.00 +00:00:00.0 2000.00  05:31 2.469  WFC    0.1  180  i                                
 561480 Bias              0:00:00.00 +00:00:00.0 2000.00  05:32 2.469  WFC    0.0  180  i                                
 561481 Bias              0:00:00.00 +00:00:00.0 2000.00  05:32 2.469  WFC    0.0  180  i                                
