 554326 FieldN2 u         6:46:20.70 -00:38:54.9 2000.00  23:10 1.428  WFC  120.0  180  stromgren u                      
 554327 FieldN7 y         6:48:51.40 -01:14:55.3 2000.00  23:13 1.438  WFC   12.1  180  stromgren y                      
 554328 FieldN7 b         6:48:51.39 -01:14:55.3 2000.00  23:14 1.443  WFC   18.1  180  stromgren b                      
 554329 FieldN7 v         6:48:51.40 -01:14:55.2 2000.00  23:15 1.448  WFC   25.1  180  stromgren v                      
 554330 FieldN7 u         6:48:51.40 -01:14:55.3 2000.00  23:16 1.458  WFC  120.0  180  stromgren u                      
 554331 FieldN4 y         6:48:42.69 -00:54:57.5 2000.00  23:19 1.464  WFC   12.1  180  stromgren y                      
 554332 FieldN4 b         6:48:42.70 -00:54:57.5 2000.00  23:20 1.470  WFC   17.5  180  stromgren b                      
 554333 FieldN4 v         6:48:42.69 -00:54:57.5 2000.00  23:22 1.477  WFC   25.1  180  stromgren v                      
 554334 FieldN4 u         6:48:42.70 -00:54:57.5 2000.00  23:23 1.488  WFC  120.0  180  stromgren u                      
 554335 FieldN1 y         6:48:24.99 -00:34:04.8 2000.00  23:26 1.496  WFC   11.5  180  stromgren y                      
 554336 FieldN1 b         6:48:25.00 -00:34:04.9 2000.00  23:27 1.502  WFC   17.5  180  stromgren b                      
 554337 FieldN1 v         6:48:24.99 -00:34:04.8 2000.00  23:28 1.508  WFC   24.5  180  stromgren v                      
 554338 FieldN1 u         6:48:25.00 -00:34:04.9 2000.00  23:30 1.520  WFC  120.0  180  stromgren u                      
 554339 FieldS1 y         6:49:23.80 -01:53:14.1 2000.00  23:33 1.558  WFC   12.1  180  stromgren y                      
 554340 FieldS1 b         6:49:23.80 -01:53:14.1 2000.00  23:34 1.564  WFC   18.1  180  stromgren b                      
 554341 FieldS1 v         6:49:23.80 -01:53:14.2 2000.00  23:35 1.571  WFC   25.1  180  stromgren v                      
 554342 FieldS1 u         6:49:23.80 -01:53:14.1 2000.00  23:37 1.584  WFC  120.0  180  stromgren u                      
 554343 FieldN9 y         6:45:13.30 -01:23:29.0 2000.00  23:40 1.620  WFC   12.1  180  stromgren y                      Re-observed with longer integration time
 554344 FieldN9 y         6:45:13.30 -01:23:29.0 2000.00  23:41 1.627  WFC   15.1  180  stromgren y                      
 554345 FieldN9 b         6:45:13.30 -01:23:29.1 2000.00  23:42 1.634  WFC   24.1  180  stromgren b                      
 554346 FieldN9 v         6:45:13.29 -01:23:29.0 2000.00  23:43 1.643  WFC   35.1  180  stromgren v                      
 554347 FieldN9 u         6:45:13.30 -01:23:29.0 2000.00  23:45 1.660  WFC  150.0  180  stromgren u                      
 554348 FieldS5 y         6:47:35.40 -02:19:10.3 2000.00  23:49 1.685  WFC   15.1  180  stromgren y                      
 554349 FieldS5 b         6:47:35.39 -02:19:10.2 2000.00  23:50 1.694  WFC   24.1  180  stromgren b                      
 554350 FieldS5 v         6:47:35.40 -02:19:10.2 2000.00  23:51 1.704  WFC   35.2  180  stromgren v                      
 554351 FieldS5 u         6:47:35.40 -02:19:10.2 2000.00  23:52 1.722  WFC  150.0  180  stromgren u                      
 554352 FieldS4 y         6:49:41.49 -02:14:07.0 2000.00  23:56 1.726  WFC   15.1  180  stromgren y                      
 554353 FieldS4 b         6:49:41.50 -02:14:06.9 2000.00  23:57 1.735  WFC   24.1  180  stromgren b                      
 554354 FieldS4 v         6:49:41.50 -02:14:07.0 2000.00  23:58 1.746  WFC   35.1  180  stromgren v                      
 554355 FieldS4 u         6:49:41.50 -02:14:06.9 2000.00  23:59 1.766  WFC  150.0  180  stromgren u                      
 554356 NGC2395           7:27:06.00 +13:34:59.8 2000.00  00:07 1.344  WFC  899.7  180  i                                Seeing <1.0"
 554357 NGC2395           7:27:06.00 +13:35:00.2 2000.00  00:28 1.451  WFC  899.6  180  i                                
 554358 NGC2395           7:27:05.99 +13:34:59.8 2000.00  00:44 1.555  WFC  899.5  180  i                                
 554359 NGC2395           7:27:05.99 +13:35:00.1 2000.00  01:01 1.624  WFC   10.1  180  i                                
 554360 NGC2395           7:27:05.99 +13:35:00.0 2000.00  01:03 1.637  WFC    2.1  180  i                                
 554361 NGC2395           7:27:05.99 +13:35:00.0 2000.00  01:04 1.651  WFC    1.0  180  i                                
 554362 M67-4 y           8:51:18.00 +11:48:00.0 2000.00  01:06 1.236  WFC   12.1  180  stromgren y                      El foco aun se estaba colocando. Repetida luego.
 554363 M67-4 b           8:51:18.00 +11:47:59.9 2000.00  01:07 1.240  WFC   18.1  180  stromgren b                      
 554364 M67-4 v           8:51:17.99 +11:47:59.9 2000.00  01:08 1.243  WFC   25.1  180  stromgren v                      
 554365 M67-4 u           8:51:18.00 +11:47:59.9 2000.00  01:09 1.250  WFC  120.0  180  stromgren u                      
 554366 M67               8:51:18.00 +11:47:59.9 2000.00  01:12 1.256  WFC   12.1  180  stromgren y                      
 554367 M67-3 y           8:51:18.00 +11:47:59.9 2000.00  01:13 1.261  WFC   11.6  180  stromgren y                      
 554368 M67-3 b           8:51:17.99 +11:48:00.0 2000.00  01:14 1.264  WFC   18.1  180  stromgren b                      
 554369 M67-3 v           8:51:18.00 +11:48:00.0 2000.00  01:15 1.268  WFC   25.1  180  stromgren v                      
 554370 M67-3 u           8:51:18.00 +11:48:00.0 2000.00  01:16 1.275  WFC  120.0  180  stromgren u                      
 554371 M67-2 y           8:51:17.99 +11:47:59.9 2000.00  01:19 1.283  WFC   11.5  180  stromgren y                      
 554372 M67-2 b           8:51:17.99 +11:48:00.0 2000.00  01:20 1.287  WFC   18.1  180  stromgren b                      
 554373 M67-2 v           8:51:18.00 +11:47:59.9 2000.00  01:21 1.291  WFC   24.6  180  stromgren v                      
 554374 M67-2 u           8:51:18.00 +11:48:00.0 2000.00  01:23 1.299  WFC  120.0  180  stromgren u                      
 554375 M67-1 y           8:51:17.99 +11:48:00.0 2000.00  01:26 1.308  WFC   12.1  180  stromgren y                      
 554376 M67-1 b           8:51:18.00 +11:48:00.0 2000.00  01:27 1.312  WFC   18.1  180  stromgren b                      
 554377 M67-1 v           8:51:17.99 +11:48:00.0 2000.00  01:28 1.318  WFC   25.1  180  stromgren v                      
 554378 M67-1 u           8:51:18.00 +11:48:00.0 2000.00  01:29 1.326  WFC  120.0  180  stromgren u                      
 554379 J1118  r         11:18:10.89 +48:02:12.8 2000.00  01:36 1.062  WFC  299.4  180  r                                
 554380 J1118  i         11:18:10.89 +48:02:12.9 2000.00  01:41 1.064  WFC  299.9  180  i                                
 554381 1047+003         10:50:02.89 -00:00:37.8 2000.00  01:50 1.185  WFC    9.6  180  r                                
 554382 1047+003         10:50:02.89 -00:00:37.9 2000.00  01:51 1.186  WFC   10.1  180  i                                
 554383 1323-085         13:25:39.40 -08:49:19.9 2000.00  01:54 1.375  WFC   10.1  180  r                                
 554384 1323-085         13:25:39.40 -08:49:20.0 2000.00  01:55 1.373  WFC   10.0  180  i                                
 554385 QSO1              9:19:49.00 +34:23:04.0 2000.00  02:01 1.243  WFC  899.5  180  i                                
 554386 QSO1              9:19:49.00 +34:23:03.9 2000.00  02:17 1.300  WFC  899.5  180  r                                
 554387 QSO1              9:19:48.99 +34:23:04.1 2000.00  02:33 1.368  WFC  899.6  180  i                                
 554388 QSO1              9:19:48.99 +34:23:04.0 2000.00  02:49 1.447  WFC  899.6  180  r                                
 554389 QSO1              9:19:49.00 +34:23:03.9 2000.00  03:05 1.545  WFC  899.6  180  i                                
 554390 QSO1              9:19:48.99 +34:23:04.0 2000.00  03:21 1.656  WFC  899.5  180  r                                
 554391 QSO1              9:19:48.99 +34:23:04.0 2000.00  03:38 1.803  WFC  899.6  180  i                                
 554392 QSO1              9:19:48.99 +34:23:04.0 2000.00  03:55 1.977  WFC  899.8  180  r                                Seeing siempre mejor de 1".3. 
 554393 1047+003         10:50:02.90 -00:00:37.9 2000.00  04:11 1.809  WFC   10.1  180  r                                Error con la cupula. No sirve
 554394 1047+003         10:50:02.89 -00:00:38.0 2000.00  04:12 1.817  WFC   10.1  180  i                                Error con la cupula. No sirve.
 554395 1323-085         13:25:39.39 -08:49:19.8 2000.00  04:16 1.299  WFC   10.1  180  r                                
 554396 1323-085         13:25:39.39 -08:49:20.0 2000.00  04:17 1.300  WFC    9.5  180  i                                
 554397 1047+003          0:00:00.00 +00:00:00.0 2000.00  04:18 1.873  WFC   10.1  180  r                                
 554398 1047+003         10:50:02.90 -00:00:38.1 2000.00  04:19 1.881  WFC   10.1  180  i                                
 554399 NGC3627G         11:20:14.90 +12:58:30.5 2000.00  04:28 1.465  WFC  100.0  180  r                                
 554400 NGC3627G         11:20:14.90 +12:58:30.4 2000.00  04:30 1.478  WFC  100.0  180  r                                seeing 1".3
 554401 NGC3627H         11:20:18.91 +12:59:30.5 2000.00  04:32 1.491  WFC   99.5  180  r                                
 554402 NGC3627H         11:20:18.91 +12:59:30.4 2000.00  04:35 1.504  WFC  100.0  180  r                                
 554403 NGC3627I         11:20:10.91 +12:59:30.4 2000.00  04:37 1.521  WFC  100.0  180  r                                
 554404 NGC3627I         11:20:10.90 +12:59:30.4 2000.00  04:39 1.535  WFC  100.1  180  r                                
