 540592 hper              2:18:56.40 +57:08:25.1 2000.00  22:20 1.137  WFC   60.1  180  i                                
 540593 chiper            2:22:04.30 +57:08:34.8 2000.00  22:23 1.137  WFC   60.1  180  i                                
 540594 hper              2:18:56.40 +57:08:24.8 2000.00  22:26 1.137  WFC   60.0  180  i                                
 540595 chiper            2:22:04.30 +57:08:35.1 2000.00  22:29 1.137  WFC   60.0  180  i                                
 540596 hper              2:18:56.39 +57:08:25.1 2000.00  22:32 1.137  WFC   60.0  180  i                                
 540597 chiper            2:22:04.30 +57:08:35.0 2000.00  22:35 1.137  WFC   60.1  180  i                                
 540598 onc V             5:35:29.99 -05:22:59.9 2000.00  22:42 1.733  WFC   60.1  180  V                                
 540599 onc i             5:35:29.99 -05:22:59.9 2000.00  22:44 1.717  WFC   30.1  180  i                                
 540600 onc V             5:35:30.01 -05:23:00.5 2000.00  22:46 1.701  WFC   60.1  180  V                                
 540601 onc i             5:35:30.00 -05:23:00.0 2000.00  22:48 1.688  WFC   30.1  180  i                                
 540602 onc V             5:35:29.99 -05:22:59.9 2000.00  22:49 1.674  WFC   60.1  180  V                                
 540603 onc i             5:35:30.00 -05:23:00.0 2000.00  22:51 1.661  WFC   30.1  180  i                                
 540604 onc V             5:35:30.00 -05:23:00.0 2000.00  22:53 1.648  WFC   60.1  180  V                                
 540605 onc i             5:35:29.99 -05:22:59.9 2000.00  22:55 1.635  WFC   30.0  180  i                                
 540606 onc V             5:35:30.00 -05:23:00.0 2000.00  22:57 1.623  WFC   60.1  180  V                                
 540607 onc i             5:35:30.00 -05:23:00.0 2000.00  22:59 1.611  WFC   30.1  180  i                                
 540608 onc V             5:35:30.00 -05:23:00.0 2000.00  23:00 1.599  WFC   60.1  180  V                                
 540609 onc i             5:35:29.99 -05:23:00.0 2000.00  23:02 1.588  WFC   30.1  180  i                                
 540610 onc V             5:35:30.00 -05:22:59.9 2000.00  23:04 1.577  WFC   60.1  180  V                                
 540611 onc i             5:35:30.00 -05:23:00.0 2000.00  23:06 1.566  WFC   30.1  180  i                                
