 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 610347 flat              5:05:30.63 +52:49:55.2  2000.00 20:43 1.203  IDS   13.0   11  Clear+Clear   1.0  51.7 5500.9   
 610348 G191-B2B 5500A    5:05:32.17 +52:49:48.2  2000.00 20:58 1.237  IDS  300.0  120  Clear+Clear   1.0  51.7 5500.9   
 610350 G191-B2B 5500A b  5:05:32.16 +52:49:48.3  2000.00 21:17 1.281  IDS  300.0  120  Clear+Clear   7.0  51.7 5500.9   Wide slit bin 3 1
 610351 CuNe+CuAr bin 3   5:05:32.17 +52:49:48.2  2000.00 21:25 1.295  IDS    2.0  120  Clear+Clear   1.0  51.7 5500.9   
 610352 CuNe+CuAr bin 3   5:05:32.17 +52:49:48.2  2000.00 21:26 1.297  IDS   60.0  120  Clear+Clear   1.0  51.7 5500.9   long exposure!
 610353 flat              5:05:32.17 +52:49:48.2  2000.00 21:28 1.303  IDS    4.0  120  Clear+Clear   1.0  51.7 5500.9   5500A
 610354 flat 6500A        5:05:32.17 +52:49:48.2  2000.00 21:31 1.311  IDS    1.5  120  Clear+Clear   1.0  47.8 6498.1   
 610355 CuNe+CuAr bin 3   5:05:32.16 +52:49:48.2  2000.00 21:33 1.315  IDS    1.5  120  Clear+Clear   1.0  47.8 6498.1   
 610357 G191-B2B 6500A b  5:05:32.17 +52:49:48.2  2000.00 21:40 1.343  IDS  300.0  120  Clear+Clear   7.0  47.8 6498.1   
 610358 flat 7500A        5:05:32.16 +52:49:48.3  2000.00 21:52 1.375  IDS    1.5  120  Clear+Clear   1.0  43.8 7499.7   
 610359 CuNe+CuAr bin 3   5:05:32.17 +52:49:48.2  2000.00 21:53 1.377  IDS    1.5  120  Clear+Clear   1.0  43.8 7499.7   
 610360 G191-B2B 7500A b  5:05:32.17 +52:49:48.1  2000.00 21:57 1.399  IDS  300.0  120  Clear+Clear   7.0  43.8 7499.7   
 610361 V838 5500A 10m    7:04:04.84 -03:50:51.2  2000.00 22:11 1.325  IDS  600.0   33  Clear+Clear   1.0  51.7 5503.5   
 610362 V838 5500A 10m    7:04:04.85 -03:50:50.9  2000.00 22:22 1.361  IDS  600.0   33  Clear+Clear   1.0  51.7 5500.9   
 610363 CuNe+CuAr bin 3   7:04:04.85 -03:50:51.0  2000.00 22:33 1.382  IDS    2.0   33  Clear+Clear   1.0  51.7 5500.9   
 610364 CuNe+CuAr bin 3   7:04:04.85 -03:50:51.2  2000.00 22:33 1.385  IDS   60.0   33  Clear+Clear   1.0  51.7 5500.9   
 610365 flat 5500A        7:04:04.85 -03:50:51.1  2000.00 22:35 1.387  IDS    4.0   33  Clear+Clear   1.0  51.7 5500.9   
 610366 V838 6500A 15m    7:04:04.85 -03:50:51.1  2000.00 22:36 1.425  IDS  900.0   33  Clear+Clear   1.0  47.8 6498.1   
 610367 CuNe+CuAr bin 3   7:04:04.84 -03:50:51.1  2000.00 22:52 1.460  IDS    1.5   33  Clear+Clear   1.0  47.8 6498.1   
 610368 flat 6500A        7:04:04.85 -03:50:51.0  2000.00 22:52 1.461  IDS    1.5   33  Clear+Clear   1.0  47.8 6498.1   
 610369 V838 7500A 15m    7:04:04.85 -03:50:51.0  2000.00 22:53 1.504  IDS  900.0   33  Clear+Clear   1.0  43.8 7499.7   
 610370 CuNe+CuAr bin 3   7:04:04.85 -03:50:51.0  2000.00 23:09 1.548  IDS    1.5   33  Clear+Clear   1.0  43.8 7499.7   
 610371 flat 7500A        7:04:04.84 -03:50:51.1  2000.00 23:09 1.549  IDS    1.5   33  Clear+Clear   1.0  43.8 7499.7   
 610372 V838 8500A 15m    7:04:04.85 -03:50:50.9  2000.00 23:10 1.602  IDS  900.0   33  Clear+Clear   1.0  39.6 8499.2   
 610373 CuNe+CuAr bin 3   7:04:04.84 -03:50:51.0  2000.00 23:26 1.656  IDS    1.5   33  Clear+Clear   1.0  39.6 8499.2   
 610374 flat 8500A        7:04:04.85 -03:50:51.1  2000.00 23:26 1.657  IDS    1.5   33  Clear+Clear   1.0  39.6 8499.2   
 610375 CuNe+CuAr bin 3  10:48:22.84 +37:34:15.7  2000.00 23:41 1.020  IDS    2.0  220  Clear+Clear   1.0  51.7 5500.9   r610375-383 ARE JUNK!!!!!!!!
 610376 CuNe+CuAr bin 3  10:48:22.84 +37:34:15.6  2000.00 23:41 1.020  IDS   60.0  220  Clear+Clear   1.0  51.7 5500.9   
 610377 flat 5500A       10:48:22.84 +37:34:15.6  2000.00 23:42 1.020  IDS    4.0  220  Clear+Clear   1.0  51.7 5500.9   
 610378 HD 93521 5500A   10:48:22.97 +37:34:14.4  2000.00 23:45 1.018  IDS  180.0  220  Clear+Clear   7.0  51.7 5500.9   
 610379 HD 93521 6500A   10:48:22.97 +37:34:14.3  2000.00 23:50 1.016  IDS   90.0  220  Clear+Clear   7.0  47.8 6498.1   saturated!!!!!
 610380 HD 93521 6500A   10:48:22.97 +37:34:14.4  2000.00 23:53 1.015  IDS   40.0  220  Clear+Clear   7.0  47.8 6498.1   
 610381 CuNe+CuAr bin 3  10:48:22.97 +37:34:14.4  2000.00 23:54 1.015  IDS    1.5  220  Clear+Clear   7.0  47.8 6498.1   
 610382 flat 6500A       10:48:22.97 +37:34:14.4  2000.00 23:54 1.015  IDS    1.5  220  Clear+Clear   7.0  47.8 6498.1   
 610383 HD 93521 5500A   10:48:22.97 +37:34:14.4  2000.00 23:57 1.014  IDS   60.0  220  Clear+Clear   7.0  51.7 5500.9   
 610384 HD 93521 5500A   10:48:22.97 +37:34:14.4  2000.00 23:58 1.014  IDS   40.0  220  Clear+Clear   7.0  51.7 5500.9   
 610385 CuNe+CuAr bin 3  10:48:22.97 +37:34:14.4  2000.00 00:00 1.013  IDS    2.0  220  Clear+Clear   1.0  51.7 5500.9   
 610386 CuNe+CuAr bin 3  10:48:22.97 +37:34:14.3  2000.00 00:01 1.013  IDS   60.0  220  Clear+Clear   1.0  51.7 5500.9   
 610387 flat 5500A       10:48:22.97 +37:34:14.4  2000.00 00:02 1.013  IDS    4.0  220  Clear+Clear   1.0  51.7 5500.9   
 610388 HD 93521 6500A   10:48:22.97 +37:34:14.4  2000.00 00:04 1.013  IDS   40.0  220  Clear+Clear   7.0  47.8 6498.1   
 610389 CuNe+CuAr bin 3  10:48:22.97 +37:34:14.3  2000.00 00:06 1.013  IDS    1.5  220  Clear+Clear   1.0  47.8 6498.1   
 610390 flat 6500A       10:48:22.97 +37:34:14.4  2000.00 00:06 1.013  IDS    1.5  220  Clear+Clear   1.0  47.8 6498.1   
