field,dir,n_matched,n_outliers_5p,n_outliers_10p,n_outliers_20p,n_5p_r,n_5p_i,n_5p_h,n_10p_r,n_10p_i,n_10p_h,n_20p_r,n_20p_i,n_20p_h,med_dr,med_di,med_dh,std_dr,std_di,std_dh,file1,file2
0017,iphas_jul2012,3131,101,8,3,11,53,37,3,3,2,1,1,1,-0.00171661376953,-0.00150299072266,-0.00390625,0.0213837689419,0.0256076060145,0.0273707409335,newmerges/iphas_jul2012/intphas_0017_mercat.fits,newmerges/iphas_jul2012/intphas_0017o_mercat.fits
0017,iphas_nov2003b,1763,369,18,5,184,136,49,7,4,7,0,1,4,0.35356426239,0.363285541534,0.342757225037,0.0408785630233,0.0350847787428,0.629933781449,newmerges/iphas_nov2003b/intphas_0017_mercat.fits,newmerges/iphas_nov2003b/intphas_0017o_mercat.fits
0018,iphas_jul2012,2268,359,26,2,108,33,218,3,0,23,0,0,2,0.0105686187744,0.0136184692383,0.0052318572998,0.0281386788309,0.0205003139658,0.0376482685072,newmerges/iphas_jul2012/intphas_0018_mercat.fits,newmerges/iphas_jul2012/intphas_0018o_mercat.fits
0018,iphas_nov2003b,2883,481,20,2,228,164,89,10,6,4,1,0,1,-0.467846393585,-0.284504890442,-0.112523078918,0.0338148216179,0.0307219186339,0.0275900042867,newmerges/iphas_nov2003b/intphas_0018_mercat.fits,newmerges/iphas_nov2003b/intphas_0018o_mercat.fits
0018,iphas_oct2009,3724,186,17,4,50,61,75,4,5,8,2,1,1,0.0163135528564,0.00206708908081,-0.00339317321777,0.0239135260902,0.0230922091506,0.0278294635253,newmerges/iphas_oct2009/intphas_0018_mercat.fits,newmerges/iphas_oct2009/intphas_0018o_mercat.fits
0019,iphas_nov2003b,4224,587,37,5,234,122,231,20,4,13,4,0,1,-0.00968551635742,0.147578239441,-0.0903882980347,0.0349863206951,0.0293200833657,0.0318515300828,newmerges/iphas_nov2003b/intphas_0019_mercat.fits,newmerges/iphas_nov2003b/intphas_0019o_mercat.fits
0020,iphas_nov2003b,874,125,3,0,33,45,47,0,1,2,0,0,0,0.128353118896,-0.0330114364624,0.134244918823,0.0290416723798,0.0287505633097,0.0342581012573,newmerges/iphas_nov2003b/intphas_0020_mercat.fits,newmerges/iphas_nov2003b/intphas_0020o_mercat.fits
0021,iphas_nov2003b,2576,667,34,6,274,272,121,14,10,10,1,1,4,-0.200792312622,0.103066444397,-0.0647287368774,0.0413461984186,0.0399507852929,0.0342395077341,newmerges/iphas_nov2003b/intphas_0021_mercat.fits,newmerges/iphas_nov2003b/intphas_0021o_mercat.fits
0021,iphas_oct2009,4747,115,7,3,27,30,58,4,2,1,1,1,1,-0.00147247314453,-4.76837158203e-05,0.000374794006348,0.0204035024582,0.0202714212816,0.0299831059162,newmerges/iphas_oct2009/intphas_0021_mercat.fits,newmerges/iphas_oct2009/intphas_0021o_mercat.fits
0022,iphas_jul2012,2407,78,4,0,7,45,26,1,1,2,0,0,0,-0.00743103027344,-0.0161399841309,-0.00750350952148,0.0178611734561,0.0220254558971,0.0253413537903,newmerges/iphas_jul2012/intphas_0022_mercat.fits,newmerges/iphas_jul2012/intphas_0022o_mercat.fits
0022,iphas_nov2003b,2174,185,12,4,65,28,92,3,4,5,2,1,1,0.601657867432,0.468824386597,0.643812179565,0.0296527718381,0.0241172651412,0.0338783537792,newmerges/iphas_nov2003b/intphas_0022_mercat.fits,newmerges/iphas_nov2003b/intphas_0022o_mercat.fits
0023,iphas_nov2003b,4892,364,33,8,81,144,139,19,4,10,4,2,2,0.00336933135986,0.00558280944824,-0.0034818649292,0.0290818419013,0.0280871111207,0.0330924149939,newmerges/iphas_nov2003b/intphas_0023_mercat.fits,newmerges/iphas_nov2003b/intphas_0023o_mercat.fits
0024,iphas_nov2003b,1880,200,7,0,49,81,70,4,1,2,0,0,0,0.0585832595825,0.00159311294556,0.000516891479492,0.0250798329399,0.0253072164183,0.0257833731052,newmerges/iphas_nov2003b/intphas_0024_mercat.fits,newmerges/iphas_nov2003b/intphas_0024o_mercat.fits
0024,iphas_nov2006c,2618,1801,853,183,229,1194,378,13,809,31,0,183,0,-1.09193229675,-0.417125701904,-0.653244018555,0.0345032752331,0.130913835027,0.0427674586885,newmerges/iphas_nov2006c/intphas_0024_mercat.fits,newmerges/iphas_nov2006c/intphas_0024o_mercat.fits
0024,iphas_oct2005b,2728,115,2,1,7,20,88,0,1,1,0,0,1,-0.00284576416016,-0.00819683074951,-0.00312805175781,0.0166106680199,0.0194218595689,0.0293321875647,newmerges/iphas_oct2005b/intphas_0024_mercat.fits,newmerges/iphas_oct2005b/intphas_0024o_mercat.fits
0025,iphas_aug2009,356,58,6,0,20,10,28,1,0,5,0,0,0,-0.00527000427246,0.00402927398682,-0.0167317390442,0.026756220011,0.0226908494343,0.0382609738955,newmerges/iphas_aug2009/intphas_0025_mercat.fits,newmerges/iphas_aug2009/intphas_0025o_mercat.fits
0025,iphas_nov2003b,202,77,4,0,15,25,37,0,1,3,0,0,0,-0.0119323730469,-0.00828456878662,0.000762939453125,0.029055430863,0.0273756349803,0.0414252560213,newmerges/iphas_nov2003b/intphas_0025_mercat.fits,newmerges/iphas_nov2003b/intphas_0025o_mercat.fits
0025,iphas_nov2008,621,32,1,0,7,12,13,0,0,1,0,0,0,-0.0111074447632,-0.018002986908,-0.012020111084,0.023657435137,0.0218524301579,0.0256012935526,newmerges/iphas_nov2008/intphas_0025_mercat.fits,newmerges/iphas_nov2008/intphas_0025o_mercat.fits
0025,iphas_oct2005b,495,77,3,0,6,18,53,0,0,3,0,0,0,0.00185298919678,-0.0765018463135,-0.0146598815918,0.0196409690478,0.0231639182393,0.0366914006218,newmerges/iphas_oct2005b/intphas_0025_mercat.fits,newmerges/iphas_oct2005b/intphas_0025o_mercat.fits
0025,iphas_oct2006b,897,72,9,1,18,11,43,0,1,8,0,0,1,-0.00147438049316,-0.00552845001221,-0.002685546875,0.0238734622843,0.0200936839538,0.0469601738808,newmerges/iphas_oct2006b/intphas_0025_mercat.fits,newmerges/iphas_oct2006b/intphas_0025o_mercat.fits
0026,iphas_nov2003b,533,197,29,7,92,69,36,20,4,5,5,0,2,-0.0110340118408,-0.0666131973267,-0.00815963745117,0.0497450851067,0.0329823605686,0.0286198060781,newmerges/iphas_nov2003b/intphas_0026_mercat.fits,newmerges/iphas_nov2003b/intphas_0026o_mercat.fits
0026,iphas_oct2005b,3585,326,10,0,31,136,159,1,6,3,0,0,0,-0.00358200073242,0.00724601745605,0.00440883636475,0.0205799943352,0.0274100334153,0.0292798026651,newmerges/iphas_oct2005b/intphas_0026_mercat.fits,newmerges/iphas_oct2005b/intphas_0026o_mercat.fits
0026,iphas_oct2006,5239,252,30,9,48,55,149,7,10,13,2,3,4,-0.00516700744629,0.00866508483887,-0.0162525177002,0.0232207401555,0.0233106862223,0.030337216786,newmerges/iphas_oct2006/intphas_0026_mercat.fits,newmerges/iphas_oct2006/intphas_0026o_mercat.fits
0027,iphas_nov2003b,2516,212,5,1,57,114,41,4,1,0,1,0,0,0.0027904510498,0.00470066070557,0.00720930099487,0.0237252607731,0.0281009556574,0.0220461435953,newmerges/iphas_nov2003b/intphas_0027_mercat.fits,newmerges/iphas_nov2003b/intphas_0027o_mercat.fits
0027,iphas_oct2005b,3281,241,20,2,71,57,113,6,6,8,0,0,2,0.0318870544434,0.0315780639648,0.0282945632935,0.0247740621995,0.0218484487911,0.0291720463525,newmerges/iphas_oct2005b/intphas_0027_mercat.fits,newmerges/iphas_oct2005b/intphas_0027o_mercat.fits
0027,iphas_oct2006b,3281,241,20,2,71,57,113,6,6,8,0,0,2,0.0318870544434,0.0315780639648,0.0282945632935,0.0247740621995,0.0218484487911,0.0291720463525,newmerges/iphas_oct2005b/intphas_0027_mercat.fits,newmerges/iphas_oct2005b/intphas_0027o_mercat.fits
0028,iphas_nov2003b,2076,333,16,0,110,127,96,4,2,10,0,0,0,0.000331401824951,-0.00112438201904,0.00451183319092,0.0264727031704,0.0273794340697,0.0267929209594,newmerges/iphas_nov2003b/intphas_0028_mercat.fits,newmerges/iphas_nov2003b/intphas_0028o_mercat.fits
0028,iphas_oct2005b,4765,215,5,1,51,38,126,1,2,2,1,0,0,-0.00752544403076,-0.00356721878052,-0.00879669189453,0.331583275854,0.0193870927037,0.0258906331235,newmerges/iphas_oct2005b/intphas_0028_mercat.fits,newmerges/iphas_oct2005b/intphas_0028o_mercat.fits
