night,run,field,filter,seeing,ellipt,sky,sources
20120802,r922952,V380_OPH,,0.78,0.130,11767.5,537
20120802,r922953,V380_OPH,,0.82,0.152,10302.3,613
20120802,r922954,V380_OPH,,0.95,0.185,10496.4,543
20120802,r922955,V380_OPH,,0.90,0.183,11064.4,548
20120802,r922956,V380_OPH,,0.74,0.116,13413.8,356
20120802,r922957,V380_OPH,,0.91,0.137,12478.3,380
20120802,r922958,V380_OPH,,0.80,0.068,16711.6,218
20120802,r922959,V380_OPH,,0.90,0.050,16642.3,151
20120802,r922960,V380_OPH,,0.97,0.072,10609.9,369
20120802,r922961,V380_OPH,,0.69,0.042,10334.5,567
20120802,r922962,V380_OPH,,0.69,0.055,10379.3,579
20120802,r922963,V380_OPH,,0.64,0.053,10405.9,652
20120802,r922964,V380_OPH,,1.04,0.171,10172.7,441
20120802,r922965,V380_OPH,,0.83,0.124,10124.2,554
20120802,r922966,AF2A,,1.03,0.039,663.5,50
20120802,r922967,AF2A,,1.30,0.080,659.5,46
20120802,r922968,AF2A,,1.20,0.040,660.2,44
20120802,r922969,AF2A,,1.63,0.133,1190.5,66
20120802,r922970,AF2A,,1.28,0.064,1189.0,75
20120802,r922971,AF2A,,1.24,0.053,1191.0,79
20120802,r922972,AF2A,,1.16,0.050,1556.4,130
20120802,r922973,AF2A,,1.15,0.047,1620.0,139
20120802,r922974,AF2A,,1.08,0.054,1064.6,149
20120802,r922975,AF2A,,1.31,0.119,2131.0,160
20120802,r922976,AF2A,,1.35,0.047,2200.4,139
20120802,r922977,AF2A,,1.40,0.043,1425.3,134
20120802,r922978,AF2A,,1.10,0.065,2707.5,228
20120802,r922979,AF2A,,1.19,0.058,2888.8,200
20120802,r922980,AF2A,,1.49,0.114,3165.9,157
20120802,r922981,AF2B,,2.26,0.044,671.1,15
20120802,r922982,AF2B,,1.16,0.040,651.3,43
20120802,r922983,AF2B,,2.21,0.058,687.6,15
20120802,r922984,AF2B,,2.05,0.057,1219.0,39
20120802,r922985,AF2B,,1.96,0.068,1160.8,49
20120802,r922986,AF2B,,1.62,0.045,2070.8,77
20120802,r922987,AF2B,,1.59,0.051,2051.1,82
20120802,r922988,AF2B,,1.59,0.082,2032.6,79
20120802,r922989,AF2B,,1.40,0.035,2929.6,123
20120802,r922990,AF2B,,1.07,0.038,2928.6,176
20120802,r922991,AF2B,,1.56,0.061,2916.6,98
20120802,r922992,AF2B,,1.53,0.082,3823.6,131
20120802,r922993,AF2B,,1.20,0.072,3800.9,198
20120802,r922994,AF2B,,1.21,0.062,3850.7,175
20120802,r922995,AF2C,,1.34,0.073,707.3,31
20120802,r922996,AF2C,,1.12,0.042,1205.6,66
20120802,r922997,AF2C,,1.52,0.057,2049.0,76
20120802,r922998,AF2C,,1.73,0.061,2878.0,82
20120802,r922999,AF2C,,2.17,0.265,3736.8,96
20120802,r923000,AF2C,,3.01,0.308,710.3,16
20120802,r923001,AF2C,,1.46,0.141,1307.3,54
20120802,r923002,AF2C,,1.44,0.074,2206.5,80
20120802,r923003,AF2C,,2.07,0.069,3281.8,69
20120802,r923004,AF2C,,3.06,0.181,4203.3,61
20120802,r923005,AF2C,,1.83,0.049,741.9,14
20120802,r923006,AF2C,,1.96,0.200,488.1,50
20120802,r923007,AF2C,,1.40,0.083,2711.8,64
20120802,r923008,AF2C,,1.13,0.042,2863.7,134
20120802,r923009,AF2C,,1.32,0.045,4250.4,79
20120802,r923012,AF2D,,1.49,0.043,756.3,22
20120802,r923013,AF2D,,1.69,0.076,1270.0,41
20120802,r923014,AF2D,,1.39,0.058,2728.4,80
20120802,r923015,AF2D,,1.34,0.105,5455.5,18
20120802,r923016,AF2D,,1.38,0.062,4773.0,151
20120802,r923017,AF2D,,1.24,0.055,746.0,21
20120802,r923018,AF2D,,1.35,0.061,1401.0,24
20120802,r923019,AF2D,,1.19,0.049,2302.0,115
20120802,r923020,AF2D,,1.32,0.042,3615.5,125
20120802,r923021,AF2D,,1.83,0.032,5498.9,81
20120802,r923022,AF2D,,1.45,0.267,936.7,4
20120802,r923023,AF2D,,1.46,0.197,2793.2,12
20120802,r923024,AF2D,,1.76,0.075,3228.1,31
20120802,r923025,AF2D,,1.37,0.103,4887.3,23
20120821,r929540,G206-034,,1.18,0.119,393.7,64
