night,ext_r,f_phot
110808,,
110809,,
110810,,
110811,,
110812,,
110813,,
110814,,
110815,,
110816,,
110817,,
110818,,
110819,,
110820,,
110821,,
110822,,
110823,,
110824,,
110825,,
110826,,
110827,,
110828,,
110829,,
110830,,
110831,,
110901,,
110902,,
110903,,
110904,,
110905,,
110906,,
110907,,
110908,,
110909,,
110910,,
110911,,
110912,,
110913,,
110914,,
110915,,
110916,,
110917,,
110918,,
110919,,
110920,,
110921,,
110922,,
110923,,
110924,,
110925,,
110926,,
110927,,
110928,,
110929,,
110930,,
111001,,
111002,,
111003,,
111004,,
111005,,
111006,,
111007,,
111008,,
111009,,
111010,,
111011,,
111012,,
111013,,
111014,,
111015,,
111016,,
111017,,
111018,,
111019,,0.0
111020,,0.0
111021,,
111022,0.104,1.0
111023,0.086,0.83
111024,0.095,1.0
111025,0.092,1.0
111026,0.093,1.0
111027,0.092,1.0
111028,0.095,1.0
111029,0.142:,0.41
111030,0.101:,0.44
111031,0.097,1.0
111101,0.108,0.65
111102,0.168,0.98
111103,,
111104,,
111105,0.094,1.0
111106,0.102,0.93
111107,0.085:,0.32
111108,0.090:,0.34
111109,,0.0
111110,,0.0
111111,,
111112,,0.16
111113,,1.0
111114,0.088,0.95
111115,0.087,0.8
111116,0.110:,0.48
111117,0.098,1.0
111118,0.160:,0.72
111119,,
111120,0.093,1.0
111121,0.113:,0.4
111122,0.093,0.91
111123,0.100,1.0
111124,0.408:,0.38
111125,0.108:,0.39
111126,0.096,0.88
111127,0.096,1.0
111128,0.095,1.0
111129,0.096,1.0
111130,0.097,1.0
111201,0.129,0.95
111202,0.095,1.0
111203,,0.0
111204,,
111205,0.081,0.95
111206,,0.21
111207,0.103,1.0
111208,,1.0
111209,0.127:,0.41
111210,,0.07
111211,0.104,0.94
111212,0.103,0.91
111213,,1.0
111214,0.095,1.0
111215,0.092,1.0
111216,0.093,0.98
111217,0.090,1.0
111218,0.112,1.0
111219,0.088,1.0
111220,0.090,1.0
111221,0.094,1.0
111222,,
111223,0.091,1.0
111224,0.089,1.0
111225,0.094,1.0
111226,0.094,1.0
111227,0.095,1.0
111228,0.106,0.8
111229,0.095,0.95
111230,0.092,1.0
111231,0.093,1.0
120101,0.091:,0.35
120102,0.130:,0.34
120103,0.125:,0.25
120104,0.098,1.0
120105,0.102,0.59
120106,,0.0
120107,0.116:,0.46
120108,0.098,1.0
120109,0.101,1.0
120110,0.100,1.0
120111,0.140,0.64
120112,0.148:,0.4
120113,0.170:,0.37
120114,0.228:,0.11
120115,0.102,1.0
120116,0.101,1.0
120117,0.106,0.97
120118,0.092,1.0
120119,0.086,0.96
120120,0.092,1.0
120121,0.096,0.97
120122,0.098,0.99
120123,,
120124,0.094,0.98
120125,0.096,0.99
120126,0.089,1.0
120127,,0.05
120128,0.096,1.0
120129,,0.0
120130,0.102,1.0
120131,0.103,1.0
120201,,0.0
120202,0.087,1.0
120203,0.112,0.86
120204,,0.0
120205,,0.0
120206,,0.0
120207,0.091,0.61
120208,0.091,0.96
120209,0.095,1.0
120210,0.110,0.82
120211,,
120212,,0.65
120213,,0.96
120214,,
120215,,
120216,,
120217,,
120218,0.082,1.0
120219,0.090,0.77
120220,0.087,1.0
120221,0.095,0.97
120222,0.097,1.0
120223,0.085,1.0
120224,0.099,0.51
120225,0.085,0.7
120226,0.092,0.97
120227,,0.0
120228,0.091,1.0
120229,0.103,1.0
120301,0.099,0.91
120302,0.108,1.0
120303,,
120304,0.097,1.0
120305,,0.06
120306,0.105,0.75
120307,0.093:,0.45
120308,0.091,0.63
120309,,0.0
120310,,0.05
120311,,0.04
120312,0.098,0.95
120313,0.091,0.95
120314,0.124,0.97
120315,,0.0
120316,,0.0
120317,0.274,1.0
120318,0.223:,1.0
120319,0.118,1.0
120320,0.108,1.0
120321,,0.29
120322,,0.0
120323,0.111,1.0
120324,0.106,0.99
120325,0.100,1.0
120326,0.153,1.0
120327,0.210,1.0
120328,0.105,1.0
120329,0.093,1.0
120330,0.113,0.89
120331,0.122,0.76
120401,,0.78
120402,,
120403,,0.0
120404,,
120405,,
120406,0.113:,0.37
120407,,
120408,0.100,0.68
120409,0.099,0.96
120410,0.103,1.0
120411,,
120412,0.122,0.93
120413,0.100,1.0
120414,,
120415,0.098,1.0
120416,0.093:,0.17
120417,0.100:,0.85
120418,0.112,1.0
120419,0.099,1.0
120420,0.094,1.0
120421,0.096,1.0
120422,0.097,1.0
120423,0.089,1.0
120424,,
120425,0.098,1.0
120426,,0.09
120427,,
120428,,
120429,,0.28
120430,,0.03
120501,0.104,1.0
120502,0.088,0.94
120503,,1.0
120504,0.120:,0.44
120505,0.088,0.9
120506,0.098,0.65
120507,,0.0
120508,0.130:,0.88
120509,0.125:,0.34
120510,,
120511,,0.0
120512,,0.0
120513,,0.0
120514,,0.0
120515,,0.0
120516,0.145:,0.33
120517,,0.0
120518,0.085:,0.28
120519,,0.0
120520,0.142,0.97
120521,0.094,1.0
120522,0.093,1.0
120523,0.136:,0.31
120524,0.084,0.95
120525,0.103,1.0
120526,0.093,1.0
120527,0.098,1.0
120528,0.113,1.0
120529,0.098,1.0
120530,0.095,1.0
120531,0.093,1.0
120601,0.103,1.0
120602,0.101,1.0
120603,0.098,1.0
120604,0.102:,0.17
120605,0.089,0.68
120606,,
120607,,1.0
120608,0.089,1.0
120609,,
120610,0.098,1.0
120611,0.088,1.0
120612,0.086,1.0
120613,,
120614,0.102,1.0
120615,0.109,1.0
120616,0.112,1.0
120617,,
120618,0.104,0.95
120619,0.109,0.95
120620,0.080,1.0
120621,0.086,0.95
120622,0.090,1.0
120623,0.086,1.0
120624,0.210,1.0
120625,0.341,1.0
120626,0.722,0.96
120627,,0.24
120628,,
120629,0.419,0.58
120630,0.244,0.64
120701,0.105,1.0
120702,0.113,0.96
120703,0.110,0.9
120704,0.159,0.73
120705,0.105,1.0
120706,0.092,1.0
120707,0.123,0.96
120708,0.167,0.96
120709,0.280,0.88
120710,0.192,1.0
120711,0.231,1.0
120712,0.147,1.0
120713,0.306,1.0
120714,0.430,1.0
120715,0.429,0.69
120716,0.471,1.0
120717,0.541,0.98
120718,0.212,1.0
120719,0.279,1.0
120720,,0.37
120721,,0.33
120722,,0.0
120723,0.501,0.93
120724,0.405,0.71
120725,0.131,1.0
120726,0.132,1.0
120727,0.132,1.0
120728,0.134,1.0
120729,0.147,1.0
120730,0.298:,0.77
120731,,0.25
120801,,0.0
120802,,0.0
120803,,0.0
120804,,0.0
120805,0.164,1.0
120806,0.122,1.0
120807,0.120,1.0
120808,0.119,1.0
120809,,0.0
120810,0.406,1.0
120811,0.447,1.0
120812,0.396,1.0
120813,0.265,1.0
120814,,
120815,,
120816,0.134,1.0
120817,0.129,1.0
120818,0.129,1.0
120819,0.135:,1.0
120820,0.596,0.95
120821,0.390,0.75
120822,0.385,0.68
120823,,0.0
120824,,0.13
120825,,0.11
120826,0.390,0.96
120827,0.195,1.0
120828,0.217,0.81
120829,0.228,0.75
120830,0.278:,0.49
120831,,
120901,,
120902,,
120903,,
