night,ext_r,f_phot
060623,0.087,1.0
060624,0.082,0.95
060625,0.076,0.85
060626,0.085,0.96
060627,0.099,1.0
060628,0.081,1.0
060629,0.085,0.94
060630,0.192,1.0
060701,0.100,0.96
060702,0.098,1.0
060703,0.099,1.0
060704,0.100,0.93
060705,0.080,1.0
060706,0.085,1.0
060707,0.081,1.0
060708,0.139:,0.3
060709,0.109,1.0
060710,,0.06
060711,0.285:,0.28
060712,0.141,0.66
060713,0.076,1.0
060714,0.092,0.96
060715,0.096,0.94
060716,0.338:,0.12
060717,0.214,0.9
060718,0.084,1.0
060719,0.074,1.0
060720,0.265:,0.88
060721,0.320:,1.0
060722,0.605:,0.12
060723,0.408,1.0
060724,0.336,0.78
060725,0.310,0.98
060726,0.088,0.94
060727,0.099,0.8
060728,0.118,0.8
060729,0.083,1.0
060730,0.087,0.96
060731,0.081,0.93
060801,0.092,1.0
060802,0.158,1.0
060803,0.261,0.62
060804,0.110,0.84
060805,0.129,1.0
060806,0.080,0.9
060807,0.082,1.0
060808,0.091,0.88
060809,0.085,0.96
060810,0.087,1.0
060811,0.090,1.0
060812,0.083,1.0
060813,0.080,0.96
060814,,0.03
060815,0.459,0.51
060816,,0.0
060817,0.212,0.97
060818,,
060819,0.086,0.93
060820,0.080,0.93
060821,0.075,0.97
060822,0.072,0.97
060823,0.083,0.97
060824,0.134,0.97
060825,0.162,0.97
060826,0.129,0.97
060827,0.243,0.81
060828,0.724:,0.35
060829,0.501:,0.56
060830,0.301,0.97
060831,0.099,0.94
060901,0.114,0.93
060902,0.229:,0.5
060903,,0.0
060904,,0.04
060905,0.418:,0.22
060906,0.281:,0.26
060907,,0.0
060908,0.113,1.0
060909,,0.0
060910,0.195,0.96
060911,0.137,0.97
060912,,
060913,0.098,1.0
060914,0.087,0.97
060915,0.091,1.0
060916,0.087,0.87
060917,,0.0
060918,0.088,0.91
060919,0.096,0.94
060920,0.080,0.95
060921,,1.0
060922,0.078,0.95
060923,0.092,0.9
060924,0.095,0.97
060925,0.097,0.82
060926,0.083,0.96
060927,0.145,0.95
060928,0.270:,0.83
060929,0.089,0.61
060930,0.223,0.87
061001,0.212,0.63
061002,0.252:,0.34
061003,0.183:,0.43
061004,,0.17
061005,,0.08
061006,0.148,0.87
061007,,0.0
061008,0.127,0.75
061009,0.159,0.69
061010,0.146,1.0
061011,0.094,0.94
061012,0.098,0.93
061013,0.095,0.97
061014,0.089:,0.44
061015,,0.85
061016,,
061017,0.069,1.0
061018,,
061019,0.100,0.9
061020,0.129,0.55
061021,0.103:,0.48
061022,0.122,0.75
061023,,
061024,,
061025,,
061026,0.081,0.97
061027,0.087,0.84
061028,,
061029,0.120,0.92
061030,,0.0
061031,,
061101,,
061102,,0.08
061103,,
061104,0.135,0.66
061105,,0.0
061106,,0.0
061107,,0.12
061108,0.096:,0.49
061109,0.100,0.95
061110,0.097,1.0
061111,,0.0
061112,,0.0
061113,0.210:,0.27
061114,,0.0
061115,,
061116,0.095,0.97
061117,0.085,0.7
061118,,0.01
061119,,0.0
061120,,0.0
061121,,0.0
061122,0.146,0.96
061123,0.128,0.76
061124,,
061125,0.103,0.97
061126,0.158:,0.72
061127,0.105,1.0
061128,0.118:,0.95
061129,0.101,1.0
061130,0.098,1.0
061201,,0.14
061202,0.162:,0.45
061203,0.185:,0.13
061204,0.101,0.97
061205,0.109,1.0
061206,0.106,1.0
061207,0.098,0.84
061208,,0.15
061209,,
061210,,
061211,,
061212,0.104,1.0
061213,0.101,0.98
061214,0.094,1.0
061215,0.104,0.87
061216,0.112:,0.16
061217,0.193:,0.47
061218,,0.0
061219,,0.0
061220,,
061221,0.129,0.97
061222,0.104,1.0
061223,0.111,0.62
061224,0.116,0.94
