# col1     col2  col3 col4       col5    col6    col7    col8    col9    col10   col11   col12   col13   col14   col15  
  oct2003  0534o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0535  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0535o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0536  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0536o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0537  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0537o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0538  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0538o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0539  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0539o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0540  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0540o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0541  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0541o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0542  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0542o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0543  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0543o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0544  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0544o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0545  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
